,titles,ratings,reviews,dates,replies,reply_dates,clean_review,combined_reviews,reviews_len
1748,Carrefour market marly (Nord) le 30 …,1,"Carrefour market marly (Nord) le 30 janvier 2018 vers 11h30.
Très mauvais accueil de la part de l'hôtesse de caisse et non justifiée. Je m'y rend pour faire quelques courses, beaucoup de clients présents à cette heure et grandes queues aux caisses. Étant enceinte et dans mon 6ème mois, je passe par la caisse prioritaire. Là beaucoup de monde aussi. Alors, je demande à une dame si je peux passer car je suis prioritaire. Elle me laisse passer volontiers. Une autre dame me voit et me laisse passer aussi. Ainsi j'arrive devant la caissière qui termine de passer les courses de la personne me précédent. 
Et là je me fais regarder de travers par cette caissière. Bon, je décide de ne rien dire. Quand vient mon tour, pas de bonjour, ni de regards, sauf ceux quelle me lance depuis le début. Elle m'annonce le prix. La cliente avant moi emballe encore ses courses. La caissière me demande d'effectuer mon paiement, je lui dit que j'attend que madame finisse. 
Et là, la caissière se permet une réflexion ""bon bin restez là alors"" avec mauvais regard bien sûr. 
A mon départ de la caisse, regards mauvais et au revoir qui lui écorchent la bouche. 
Très très déçue pour cette femme qui m'a déjà fait le coup!!!! Je suis une très bonne cliente de ce magasin. Malgré la proximité avec mon domicile, j'y réfléchirais à 2 fois avant de retourner.",2018-01-30T11:23:54.000Z,,,"Carrefour market marly (Nord) le 30 janvier 2018 vers 11h30.Très mauvais accueil de la part de l'hôtesse de caisse et non justifiée. Je m'y rend pour faire quelques courses, beaucoup de clients présents à cette heure et grandes queues aux caisses. Étant enceinte et dans mon 6ème mois, je passe par la caisse prioritaire. Là beaucoup de monde aussi. Alors, je demande à une dame si je peux passer car je suis prioritaire. Elle me laisse passer volontiers. Une autre dame me voit et me laisse passer aussi. Ainsi j'arrive devant la caissière qui termine de passer les courses de la personne me précédent. Et là je me fais regarder de travers par cette caissière. Bon, je décide de ne rien dire. Quand vient mon tour, pas de bonjour, ni de regards, sauf ceux quelle me lance depuis le début. Elle m'annonce le prix. La cliente avant moi emballe encore ses courses. La caissière me demande d'effectuer mon paiement, je lui dit que j'attend que madame finisse. Et là, la caissière se permet une réflexion ""bon bin restez là alors"" avec mauvais regard bien sûr. A mon départ de la caisse, regards mauvais et au revoir qui lui écorchent la bouche. Très très déçue pour cette femme qui m'a déjà fait le coup!!!! Je suis une très bonne cliente de ce magasin. Malgré la proximité avec mon domicile, j'y réfléchirais à 2 fois avant de retourner.","Carrefour market marly (Nord) le 30 … Carrefour market marly (Nord) le 30 janvier 2018 vers 11h30.Très mauvais accueil de la part de l'hôtesse de caisse et non justifiée. Je m'y rend pour faire quelques courses, beaucoup de clients présents à cette heure et grandes queues aux caisses. Étant enceinte et dans mon 6ème mois, je passe par la caisse prioritaire. Là beaucoup de monde aussi. Alors, je demande à une dame si je peux passer car je suis prioritaire. Elle me laisse passer volontiers. Une autre dame me voit et me laisse passer aussi. Ainsi j'arrive devant la caissière qui termine de passer les courses de la personne me précédent. Et là je me fais regarder de travers par cette caissière. Bon, je décide de ne rien dire. Quand vient mon tour, pas de bonjour, ni de regards, sauf ceux quelle me lance depuis le début. Elle m'annonce le prix. La cliente avant moi emballe encore ses courses. La caissière me demande d'effectuer mon paiement, je lui dit que j'attend que madame finisse. Et là, la caissière se permet une réflexion ""bon bin restez là alors"" avec mauvais regard bien sûr. A mon départ de la caisse, regards mauvais et au revoir qui lui écorchent la bouche. Très très déçue pour cette femme qui m'a déjà fait le coup!!!! Je suis une très bonne cliente de ce magasin. Malgré la proximité avec mon domicile, j'y réfléchirais à 2 fois avant de retourner.",243
173,J’ai passé commande le samedi 13/08…,1,"J’ai passé commande le samedi 13/08 pour une livraison le lundi 15/08. Nous somme le 17/08 et toujours pas de commande en vu. La blague. J’ai fait un mail au service client et ils me demandent d’appeler par téléphone. Au téléphone toutes les 3 min on me dit qu’un conseiller sera disponible dans moins de deux minutes puis 13 min plus tard on me raccroche au nez me disant que tous les conseillers sont en ligne… je décide de rappeler car il est hors de question de laisser plus de 160€ dans la nature et la quelqu’un me répond au bout de 7 min. Très pro je n’ai rien à lui reprocher. Au bout de 5 min, il revient me dire que la magasin lui a dit qu’ils n’avaient pas trouvé de livreur pour ce lundi 15 août ils ont donc tout simplement rangé ma commande. Ils n’ont pas pris la peine d’annuler ma commande ou me rembourser non. Ils ont rangé les courses en rayon et ont continué leur vie pendant que j’attendais après ma commande. De mon côté bien évidemment Il faut que je passe une nouvelle commande. La grosse blague. Je ne suis pas du genre à laisser de mauvais commentaire mais lorsque l’on me prend pour une cruche, et bien je ne vais pas me gêner. Service livraison CARREFOUR un gros zéro pointé !!!!!",2022-08-17T14:36:10.000Z,"Bonjour, pouvez-vous nous préciser le numéro de commande ? A votre écoute, L'équipe Carrefour",2022-08-17T15:57:23.450Z,"J’ai passé commande le samedi 13/08 pour une livraison le lundi 15/08. Nous somme le 17/08 et toujours pas de commande en vu. La blague. J’ai fait un mail au service client et ils me demandent d’appeler par téléphone. Au téléphone toutes les 3 min on me dit qu’un conseiller sera disponible dans moins de deux minutes puis 13 min plus tard on me raccroche au nez me disant que tous les conseillers sont en ligne… je décide de rappeler car il est hors de question de laisser plus de 160€ dans la nature et la quelqu’un me répond au bout de 7 min. Très pro je n’ai rien à lui reprocher. Au bout de 5 min, il revient me dire que la magasin lui a dit qu’ils n’avaient pas trouvé de livreur pour ce lundi 15 août ils ont donc tout simplement rangé ma commande. Ils n’ont pas pris la peine d’annuler ma commande ou me rembourser non. Ils ont rangé les courses en rayon et ont continué leur vie pendant que j’attendais après ma commande. De mon côté bien évidemment Il faut que je passe une nouvelle commande. La grosse blague. Je ne suis pas du genre à laisser de mauvais commentaire mais lorsque l’on me prend pour une cruche, et bien je ne vais pas me gêner. Service livraison CARREFOUR un gros zéro pointé !!!!!","J’ai passé commande le samedi 13/08… J’ai passé commande le samedi 13/08 pour une livraison le lundi 15/08. Nous somme le 17/08 et toujours pas de commande en vu. La blague. J’ai fait un mail au service client et ils me demandent d’appeler par téléphone. Au téléphone toutes les 3 min on me dit qu’un conseiller sera disponible dans moins de deux minutes puis 13 min plus tard on me raccroche au nez me disant que tous les conseillers sont en ligne… je décide de rappeler car il est hors de question de laisser plus de 160€ dans la nature et la quelqu’un me répond au bout de 7 min. Très pro je n’ai rien à lui reprocher. Au bout de 5 min, il revient me dire que la magasin lui a dit qu’ils n’avaient pas trouvé de livreur pour ce lundi 15 août ils ont donc tout simplement rangé ma commande. Ils n’ont pas pris la peine d’annuler ma commande ou me rembourser non. Ils ont rangé les courses en rayon et ont continué leur vie pendant que j’attendais après ma commande. De mon côté bien évidemment Il faut que je passe une nouvelle commande. La grosse blague. Je ne suis pas du genre à laisser de mauvais commentaire mais lorsque l’on me prend pour une cruche, et bien je ne vais pas me gêner. Service livraison CARREFOUR un gros zéro pointé !!!!!",234
343,Achat annulé et aucune solution trouvée,1,"Achat d'un smartphone avec une réduction de 310 euros, commande annulée 3 jours avant la livraison. Lot de consolation : 15e en bon d'achat pour pouvoir en racheter un autre.
Il a fallut que j'appelle 5 fois pour avoir une réponse, de pire en pire carrefour",2022-04-23T10:07:13.000Z,"Bonjour, afin d'expertiser cette situation, nous aurions besoin de plus de précisions.",2022-04-23T11:53:00.829Z,"Achat d'un smartphone avec une réduction de 310 euros, commande annulée 3 jours avant la livraison. Lot de consolation : 15e en bon d'achat pour pouvoir en racheter un autre.Il a fallut que j'appelle 5 fois pour avoir une réponse, de pire en pire carrefour","Achat annulé et aucune solution trouvée Achat d'un smartphone avec une réduction de 310 euros, commande annulée 3 jours avant la livraison. Lot de consolation : 15e en bon d'achat pour pouvoir en racheter un autre.Il a fallut que j'appelle 5 fois pour avoir une réponse, de pire en pire carrefour",51
1255,"Personnel désagréable,des caisses…",1,"Personnel désagréable,des caisses prioritaire d'accord mais quand il n'y a personnes quel intérêt de laisser des caisses vides ?alors que d'autres caisses et blindé de monde .honteux",2020-06-22T06:38:24.000Z,,,"Personnel désagréable,des caisses prioritaire d'accord mais quand il n'y a personnes quel intérêt de laisser des caisses vides ?alors que d'autres caisses et blindé de monde .honteux","Personnel désagréable,des caisses… Personnel désagréable,des caisses prioritaire d'accord mais quand il n'y a personnes quel intérêt de laisser des caisses vides ?alors que d'autres caisses et blindé de monde .honteux",30
302,"""One or more validation errors…",1,"""One or more validation errors occurred.""
Tout est bien validé et impossible de créer ce P****n de compte sur le site Carrefour Sabatier.
Epargnez moi votre réponse automatique et faite que ce site fonctionne ,au moins 10 essais à différentes heures et toujours la même réponse ""One or more validation errors occurred"".",2022-05-11T17:23:18.000Z,"Bonjour, afin d'expertiser cette situation, nous aurions besoin de plus de précisions. Pourriez-vous nous rejoindre sur nos réseaux sociaux ou ici https://www.carrefour.fr/services/nous-contacter/formulaire afin de vous apporter une réponse circonstanciée. Merci par avance. L'équipe Carrefour",2022-05-11T18:07:29.144Z,"""One or more validation errors occurred.""Tout est bien validé et impossible de créer ce P****n de compte sur le site Carrefour Sabatier.Epargnez moi votre réponse automatique et faite que ce site fonctionne ,au moins 10 essais à différentes heures et toujours la même réponse ""One or more validation errors occurred"".","""One or more validation errors… ""One or more validation errors occurred.""Tout est bien validé et impossible de créer ce P****n de compte sur le site Carrefour Sabatier.Epargnez moi votre réponse automatique et faite que ce site fonctionne ,au moins 10 essais à différentes heures et toujours la même réponse ""One or more validation errors occurred"".",55
891,Absolument aucune considération du client,1,Avis laissé ici le 29 décembre et toujours sans nouvelle de ce fameux Dimitri qui se dit regarder à votre dossier pour corriger les manquements du service clients Carrefour. Je lui ai envoyé un email début janvier comme il me le demandait et nous sommes le 10 mars... Que dire de plus? Jérôme,2021-03-10T18:30:05.000Z,,,Avis laissé ici le 29 décembre et toujours sans nouvelle de ce fameux Dimitri qui se dit regarder à votre dossier pour corriger les manquements du service clients Carrefour. Je lui ai envoyé un email début janvier comme il me le demandait et nous sommes le 10 mars... Que dire de plus? Jérôme,Absolument aucune considération du client Avis laissé ici le 29 décembre et toujours sans nouvelle de ce fameux Dimitri qui se dit regarder à votre dossier pour corriger les manquements du service clients Carrefour. Je lui ai envoyé un email début janvier comme il me le demandait et nous sommes le 10 mars... Que dire de plus? Jérôme,58
1298,Tres mauvais accueil au stand carrefour…,1,"Tres mauvais accueil au stand carrefour banque Aulnay Sous Bois.
Personnel malpoli",2020-05-27T10:11:47.000Z,,,Tres mauvais accueil au stand carrefour banque Aulnay Sous Bois.Personnel malpoli,Tres mauvais accueil au stand carrefour… Tres mauvais accueil au stand carrefour banque Aulnay Sous Bois.Personnel malpoli,17
1404,SOCIETE CARREFOUR ET SON INDIFFERENCE COMMERCIALE !,1,"Je suis FURIEUSE  J""ai passé une commande chez Carrrefour livraison Express lundi matin ! Une petite commande ! J'en avais pour 59€ !
Je suis agée et en invalidité ! Je ne sors plus de chez moi ! J'ai heureusement l'habitude de pouvoir faire mes courses par Internet régulièrement ! 
Donc ma commande de Lundi matin a été confirmée pour sa livraison le mardi vers 11Hrs30 par mail et SMS !
RIEN ! J'ai même reçu un sms me confirmant l'arrivée du livreur d'ici 7 minutes !!!! Puis plus rien !!!!! 
Vers 15Hrs j'ai reçu un mail de Carrefour Livraison express me disant :  Suite à l'annulation de votre commande ne ne prélèverons pas le montant de cette commande!
C EST QUOI CE CIRQUE ???? JE N AI JAMAIS ANNULE MA COMMANDE ! 
Evidemment j'ai essayé de joindre leur service client par Téléphone et par mail ! AUCUNE réponse ! Que pensez-vous de cette grande  Société qui se moque de ses clients 
Je vous le répéte je n'ai Pas annulé ma commande ! Je vis seule , agée 77ans et ne sortant plus de chez moi vue mon invalidité ! QUE puis-je faire ???? 
OU PUIS-JE M ADRESSER POUR FAIRE MA RECLAMATION ? Merci",2020-03-18T10:07:18.000Z,,,"Je suis FURIEUSE  J""ai passé une commande chez Carrrefour livraison Express lundi matin ! Une petite commande ! J'en avais pour 59€ !Je suis agée et en invalidité ! Je ne sors plus de chez moi ! J'ai heureusement l'habitude de pouvoir faire mes courses par Internet régulièrement ! Donc ma commande de Lundi matin a été confirmée pour sa livraison le mardi vers 11Hrs30 par mail et SMS !RIEN ! J'ai même reçu un sms me confirmant l'arrivée du livreur d'ici 7 minutes !!!! Puis plus rien !!!!! Vers 15Hrs j'ai reçu un mail de Carrefour Livraison express me disant :  Suite à l'annulation de votre commande ne ne prélèverons pas le montant de cette commande!C EST QUOI CE CIRQUE ???? JE N AI JAMAIS ANNULE MA COMMANDE ! Evidemment j'ai essayé de joindre leur service client par Téléphone et par mail ! AUCUNE réponse ! Que pensez-vous de cette grande  Société qui se moque de ses clients Je vous le répéte je n'ai Pas annulé ma commande ! Je vis seule , agée 77ans et ne sortant plus de chez moi vue mon invalidité ! QUE puis-je faire ???? OU PUIS-JE M ADRESSER POUR FAIRE MA RECLAMATION ? Merci","SOCIETE CARREFOUR ET SON INDIFFERENCE COMMERCIALE ! Je suis FURIEUSE  J""ai passé une commande chez Carrrefour livraison Express lundi matin ! Une petite commande ! J'en avais pour 59€ !Je suis agée et en invalidité ! Je ne sors plus de chez moi ! J'ai heureusement l'habitude de pouvoir faire mes courses par Internet régulièrement ! Donc ma commande de Lundi matin a été confirmée pour sa livraison le mardi vers 11Hrs30 par mail et SMS !RIEN ! J'ai même reçu un sms me confirmant l'arrivée du livreur d'ici 7 minutes !!!! Puis plus rien !!!!! Vers 15Hrs j'ai reçu un mail de Carrefour Livraison express me disant :  Suite à l'annulation de votre commande ne ne prélèverons pas le montant de cette commande!C EST QUOI CE CIRQUE ???? JE N AI JAMAIS ANNULE MA COMMANDE ! Evidemment j'ai essayé de joindre leur service client par Téléphone et par mail ! AUCUNE réponse ! Que pensez-vous de cette grande  Société qui se moque de ses clients Je vous le répéte je n'ai Pas annulé ma commande ! Je vis seule , agée 77ans et ne sortant plus de chez moi vue mon invalidité ! QUE puis-je faire ???? OU PUIS-JE M ADRESSER POUR FAIRE MA RECLAMATION ? Merci",208
277,C'est moi ou les prix grimpent plus…,1,C'est moi ou les prix grimpent plus vite chez carrefour que chez ces concurrents. Au vue du peu de monde dans le magasin près de chez moi je ne suis pas la seule à m'en être rendu compte. je ne parle même pas du drive ou les prix sont surgonfler par rapport aux promotions catalogue. Et maintenant il n'accepte même plus les coupons réductions lorsqu'il y a déjà du cagnottage sur du non alimentaire. heureusement que les autres enseignes continues de les accepter. j'avais déjà réduit mes achats à carrefour mais je vais encore plus réduire dommage c'était une enseigne que j'appréciais.,2022-05-24T14:23:55.000Z,"Bonjour, afin d'expertiser cette situation, nous aurions besoin de plus de précisions. Pourriez-vous nous rejoindre sur nos réseaux sociaux ou ici https://www.carrefour.fr/services/nous-contacter/formulaire afin de vous apporter une réponse circonstanciée. Merci par avance, L'équipe Carrefour",2022-05-24T18:24:07.734Z,C'est moi ou les prix grimpent plus vite chez carrefour que chez ces concurrents. Au vue du peu de monde dans le magasin près de chez moi je ne suis pas la seule à m'en être rendu compte. je ne parle même pas du drive ou les prix sont surgonfler par rapport aux promotions catalogue. Et maintenant il n'accepte même plus les coupons réductions lorsqu'il y a déjà du cagnottage sur du non alimentaire. heureusement que les autres enseignes continues de les accepter. j'avais déjà réduit mes achats à carrefour mais je vais encore plus réduire dommage c'était une enseigne que j'appréciais.,C'est moi ou les prix grimpent plus… C'est moi ou les prix grimpent plus vite chez carrefour que chez ces concurrents. Au vue du peu de monde dans le magasin près de chez moi je ne suis pas la seule à m'en être rendu compte. je ne parle même pas du drive ou les prix sont surgonfler par rapport aux promotions catalogue. Et maintenant il n'accepte même plus les coupons réductions lorsqu'il y a déjà du cagnottage sur du non alimentaire. heureusement que les autres enseignes continues de les accepter. j'avais déjà réduit mes achats à carrefour mais je vais encore plus réduire dommage c'était une enseigne que j'appréciais.,109
1968,De l'amateurisme !!,1,"Je commande un mobile le 03/07/14 avec livraison dans un Carrefour Express (près de la place de Clichy à Paris). Le jour du retrait, le magasin m'annonce qu'il ne livre qu'à partir de 17h les colis Kiala (tant pis pour nous si l'on ne peut se déplacer qu'à l'heure du déjeuner).
J'appelle le jeudi le service client de Carrefour.fr (09.69.39.75.35) pour me trouver une solution de remplacement (livraison chez moi ou dans un autre relais). On me promet un rappel dans les 5 jours. 
Aucune nouvelle depuis, je décide donc d'appeler au bout de 15 jours : 1er décroché, attente de 5 min, je suis très calme mais on me raccroche au nez au bout de 10 secondes.
2nd appel, réponse rapide, je dois recommencer toute mon histoire, toujours très calme : l'attachée clientèle se renseigne et, après une attente de 3 min, me précise qu'elle va, ENFIN, demander le retour du colis à Kiala et que je serai alors remboursé au retour dudit colis sans aucune précision sur la date, alors même que je demandais un délai (la somme en jeu est fort heureusement très petite - 12,98 €).
Au vu de cette expérience, en comparant à des sites très pro et rôdés comme Amazon voire CDiscount, on a vraiment l'impression d'être dans l'amateurisme d'un petit site qui débute péniblement. Il est bien incroyable qu'au plus petit bug (quand même bien simple à gérer), Carrefour.fr soit tout à la fois incapable de respecter ses engagements (me rappeler comme promis) et de me rembourser un colis non réclamé au bout de 3 semaines. Ce service client est dans le flou le plus total !
Voilà, vous pourrez maintenant acheter en connaissance de cause : si vous êtes sûr d'être livré en un lieu de confiance, allez-y sinon,... passez votre chemin...
Pou ma part, mon choix est fait, Carrefour continuera à me voir dans ses hypermarchés mais plus jamais sur son site de vente en ligne...",2014-08-04T12:54:47.000Z,,,"Je commande un mobile le 03/07/14 avec livraison dans un Carrefour Express (près de la place de Clichy à Paris). Le jour du retrait, le magasin m'annonce qu'il ne livre qu'à partir de 17h les colis Kiala (tant pis pour nous si l'on ne peut se déplacer qu'à l'heure du déjeuner).J'appelle le jeudi le service client de Carrefour.fr (09.69.39.75.35) pour me trouver une solution de remplacement (livraison chez moi ou dans un autre relais). On me promet un rappel dans les 5 jours. Aucune nouvelle depuis, je décide donc d'appeler au bout de 15 jours : 1er décroché, attente de 5 min, je suis très calme mais on me raccroche au nez au bout de 10 secondes.2nd appel, réponse rapide, je dois recommencer toute mon histoire, toujours très calme : l'attachée clientèle se renseigne et, après une attente de 3 min, me précise qu'elle va, ENFIN, demander le retour du colis à Kiala et que je serai alors remboursé au retour dudit colis sans aucune précision sur la date, alors même que je demandais un délai (la somme en jeu est fort heureusement très petite - 12,98 €).Au vu de cette expérience, en comparant à des sites très pro et rôdés comme Amazon voire CDiscount, on a vraiment l'impression d'être dans l'amateurisme d'un petit site qui débute péniblement. Il est bien incroyable qu'au plus petit bug (quand même bien simple à gérer), Carrefour.fr soit tout à la fois incapable de respecter ses engagements (me rappeler comme promis) et de me rembourser un colis non réclamé au bout de 3 semaines. Ce service client est dans le flou le plus total !Voilà, vous pourrez maintenant acheter en connaissance de cause : si vous êtes sûr d'être livré en un lieu de confiance, allez-y sinon,... passez votre chemin...Pou ma part, mon choix est fait, Carrefour continuera à me voir dans ses hypermarchés mais plus jamais sur son site de vente en ligne...","De l'amateurisme !! Je commande un mobile le 03/07/14 avec livraison dans un Carrefour Express (près de la place de Clichy à Paris). Le jour du retrait, le magasin m'annonce qu'il ne livre qu'à partir de 17h les colis Kiala (tant pis pour nous si l'on ne peut se déplacer qu'à l'heure du déjeuner).J'appelle le jeudi le service client de Carrefour.fr (09.69.39.75.35) pour me trouver une solution de remplacement (livraison chez moi ou dans un autre relais). On me promet un rappel dans les 5 jours. Aucune nouvelle depuis, je décide donc d'appeler au bout de 15 jours : 1er décroché, attente de 5 min, je suis très calme mais on me raccroche au nez au bout de 10 secondes.2nd appel, réponse rapide, je dois recommencer toute mon histoire, toujours très calme : l'attachée clientèle se renseigne et, après une attente de 3 min, me précise qu'elle va, ENFIN, demander le retour du colis à Kiala et que je serai alors remboursé au retour dudit colis sans aucune précision sur la date, alors même que je demandais un délai (la somme en jeu est fort heureusement très petite - 12,98 €).Au vu de cette expérience, en comparant à des sites très pro et rôdés comme Amazon voire CDiscount, on a vraiment l'impression d'être dans l'amateurisme d'un petit site qui débute péniblement. Il est bien incroyable qu'au plus petit bug (quand même bien simple à gérer), Carrefour.fr soit tout à la fois incapable de respecter ses engagements (me rappeler comme promis) et de me rembourser un colis non réclamé au bout de 3 semaines. Ce service client est dans le flou le plus total !Voilà, vous pourrez maintenant acheter en connaissance de cause : si vous êtes sûr d'être livré en un lieu de confiance, allez-y sinon,... passez votre chemin...Pou ma part, mon choix est fait, Carrefour continuera à me voir dans ses hypermarchés mais plus jamais sur son site de vente en ligne...",323
1114,labege le drive le plus nul du secteur…,1,labege le drive le plus nul du secteur Toulousain toujours des produits manquants des échanges insolites et surtout la difficulté d'avoir un créneau de livraison  par manque de personnel dixit le drive lui même   appel au service client pour ensuite me faire remboursée l'absence de produits  facturés et ceci chaque semaine lol   bref aller vous servir ailleurs celà ne pourra être pire ..... figurez vous que c'est la réponse obtenue lors de mon appel au service client national,2020-09-30T19:09:48.000Z,,,labege le drive le plus nul du secteur Toulousain toujours des produits manquants des échanges insolites et surtout la difficulté d'avoir un créneau de livraison  par manque de personnel dixit le drive lui même   appel au service client pour ensuite me faire remboursée l'absence de produits  facturés et ceci chaque semaine lol   bref aller vous servir ailleurs celà ne pourra être pire ..... figurez vous que c'est la réponse obtenue lors de mon appel au service client national,labege le drive le plus nul du secteur… labege le drive le plus nul du secteur Toulousain toujours des produits manquants des échanges insolites et surtout la difficulté d'avoir un créneau de livraison  par manque de personnel dixit le drive lui même   appel au service client pour ensuite me faire remboursée l'absence de produits  facturés et ceci chaque semaine lol   bref aller vous servir ailleurs celà ne pourra être pire ..... figurez vous que c'est la réponse obtenue lors de mon appel au service client national,86
232,Scandalisé par le magasin d'Aix les…,1,"Scandalisé par le magasin d'Aix les Milles où il faut supplifier en caisse pour que les prix réduits annoncés en rayon soient appliqués !!! J'ai achèté des draps en coton dans un rayon où des prix réduits étaient indiqués dans les rayons devant chaque article par des étiquette dédiées. En caisse on m'explique que le prix marqué sur l'article, plus élevé que le prix marqué en gondole, est le seul qui s'applique et que je peux aller réclamer au service client. M'etonnant de ce refus la chef de caisse me dit que j'ai mal vu les prix... Je lui montre donc des photos du rayon démontrant ma bonne foi. Nouveau refus 
de la chef  de caisse qui me dit que un ton impérieux ""on ne peut rien faire... avancez y a du monde"". Devant mon refus elle finit par donner l'ordre au caissier d'appliquer la réduction, ce qui est obtenu par un simple bouton sur son écran: une seule manipulation du caissier  et magiquement tous les prix réduits annonncés en gondole sont appliqués. Donc 1- les prix réduits annoncés en gondole étaient les bons, 2- le caissier le savait et pouvait les appliquer très facilement. Comlent expliquer qu'on ait donc dans un premier temps refusé de m'appliquer le prix indiqué et j'avais parfaitement lu ? Que penser de la relation au client ? On peut s'interroger sur ce qu'on a demandé au caissier de dire...Aucune excuse ni du caissier ni de la chef de caisse que nous avons manifestement ennuyée malgré notre bonne foi. Belle expérience chez Carrefour que je boycoterai a présent.",2022-07-11T08:41:14.000Z,"Bonjour, nous vous remercions pour votre message que nous avons transmis au directeur du magasin d’Aix en Provence qui vous propose de le contacter directement sur sa ligne directe au 04.42.16.90.99. ",2022-07-13T06:49:31.272Z,"Scandalisé par le magasin d'Aix les Milles où il faut supplifier en caisse pour que les prix réduits annoncés en rayon soient appliqués !!! J'ai achèté des draps en coton dans un rayon où des prix réduits étaient indiqués dans les rayons devant chaque article par des étiquette dédiées. En caisse on m'explique que le prix marqué sur l'article, plus élevé que le prix marqué en gondole, est le seul qui s'applique et que je peux aller réclamer au service client. M'etonnant de ce refus la chef de caisse me dit que j'ai mal vu les prix... Je lui montre donc des photos du rayon démontrant ma bonne foi. Nouveau refus de la chef  de caisse qui me dit que un ton impérieux ""on ne peut rien faire... avancez y a du monde"". Devant mon refus elle finit par donner l'ordre au caissier d'appliquer la réduction, ce qui est obtenu par un simple bouton sur son écran: une seule manipulation du caissier  et magiquement tous les prix réduits annonncés en gondole sont appliqués. Donc 1- les prix réduits annoncés en gondole étaient les bons, 2- le caissier le savait et pouvait les appliquer très facilement. Comlent expliquer qu'on ait donc dans un premier temps refusé de m'appliquer le prix indiqué et j'avais parfaitement lu ? Que penser de la relation au client ? On peut s'interroger sur ce qu'on a demandé au caissier de dire...Aucune excuse ni du caissier ni de la chef de caisse que nous avons manifestement ennuyée malgré notre bonne foi. Belle expérience chez Carrefour que je boycoterai a présent.","Scandalisé par le magasin d'Aix les… Scandalisé par le magasin d'Aix les Milles où il faut supplifier en caisse pour que les prix réduits annoncés en rayon soient appliqués !!! J'ai achèté des draps en coton dans un rayon où des prix réduits étaient indiqués dans les rayons devant chaque article par des étiquette dédiées. En caisse on m'explique que le prix marqué sur l'article, plus élevé que le prix marqué en gondole, est le seul qui s'applique et que je peux aller réclamer au service client. M'etonnant de ce refus la chef de caisse me dit que j'ai mal vu les prix... Je lui montre donc des photos du rayon démontrant ma bonne foi. Nouveau refus de la chef  de caisse qui me dit que un ton impérieux ""on ne peut rien faire... avancez y a du monde"". Devant mon refus elle finit par donner l'ordre au caissier d'appliquer la réduction, ce qui est obtenu par un simple bouton sur son écran: une seule manipulation du caissier  et magiquement tous les prix réduits annonncés en gondole sont appliqués. Donc 1- les prix réduits annoncés en gondole étaient les bons, 2- le caissier le savait et pouvait les appliquer très facilement. Comlent expliquer qu'on ait donc dans un premier temps refusé de m'appliquer le prix indiqué et j'avais parfaitement lu ? Que penser de la relation au client ? On peut s'interroger sur ce qu'on a demandé au caissier de dire...Aucune excuse ni du caissier ni de la chef de caisse que nous avons manifestement ennuyée malgré notre bonne foi. Belle expérience chez Carrefour que je boycoterai a présent.",269
494,CARREFOUR EXPRESS CAEN RUE SAINT JEAN,1,"CARREFOUR EXPRESS CAEN RUE SAINT JEAN 
PROFITEUR

j'en reviens ce matin hier le pralin a leclerc rive de l'orne 1.62€ et 6 oeuf de nos region 1.25 € total 2.87 €

cool

ce matin 1 pralin même quantité même marque 2.62 € soit plus de 1€ plus cher 6 œuf carrefour ""marque carrefour donc marques tres bien connus"" 2.32 € soit plus de 1.07 plus cher

hier les meme 2 produit a leclerc rive de lorne 
2.87 €
ce jour les meme produit a carrefour saint jean
4.94 €

PROFITEUR? MES A FAIRE COMME CELA VOUS RISQUER DE NE PAS DURER. C'EST PUREMENT DU VOL.",2021-11-14T10:23:46.000Z,,,"CARREFOUR EXPRESS CAEN RUE SAINT JEAN PROFITEURj'en reviens ce matin hier le pralin a leclerc rive de l'orne 1.62€ et 6 oeuf de nos region 1.25 € total 2.87 €coolce matin 1 pralin même quantité même marque 2.62 € soit plus de 1€ plus cher 6 œuf carrefour ""marque carrefour donc marques tres bien connus"" 2.32 € soit plus de 1.07 plus cherhier les meme 2 produit a leclerc rive de lorne 2.87 €ce jour les meme produit a carrefour saint jean4.94 €PROFITEUR? MES A FAIRE COMME CELA VOUS RISQUER DE NE PAS DURER. C'EST PUREMENT DU VOL.","CARREFOUR EXPRESS CAEN RUE SAINT JEAN CARREFOUR EXPRESS CAEN RUE SAINT JEAN PROFITEURj'en reviens ce matin hier le pralin a leclerc rive de l'orne 1.62€ et 6 oeuf de nos region 1.25 € total 2.87 €coolce matin 1 pralin même quantité même marque 2.62 € soit plus de 1€ plus cher 6 œuf carrefour ""marque carrefour donc marques tres bien connus"" 2.32 € soit plus de 1.07 plus cherhier les meme 2 produit a leclerc rive de lorne 2.87 €ce jour les meme produit a carrefour saint jean4.94 €PROFITEUR? MES A FAIRE COMME CELA VOUS RISQUER DE NE PAS DURER. C'EST PUREMENT DU VOL.",104
