Index,ratings,titles,clean_review,combined_reviews,reviews_len,Channel,Buying Experience,Product,Delivery,Customer Service
76,1,Allo monsieur Bompard !,"Allo monsieur Bompard !Honteux, scandaleux, votre service d'appel au 0806060601 Attente interminable sans aucun message d'attente. Je ne m'insurge pas contre l'attente qui peut se comprendre mais bien contre la procédure.  Vos ""têtes pensantes"" chargées de la mise en place de ces procédures utilisent-ils eux même leurs services ? Faites le test !","Allo monsieur Bompard ! Allo monsieur Bompard !Honteux, scandaleux, votre service d'appel au 0806060601 Attente interminable sans aucun message d'attente. Je ne m'insurge pas contre l'attente qui peut se comprendre mais bien contre la procédure.  Vos ""têtes pensantes"" chargées de la mise en place de ces procédures utilisent-ils eux même leurs services ? Faites le test !",57,FALSE,FALSE,FALSE,FALSE,TRUE
1435,1,J'ai acheté du pain et la date est…,J'ai acheté du pain et la date est dépassé la date et du 13/02/2020 et on est le 14 je l'ai pas vu le pain et encore bon ils auraient dû l'enlever,J'ai acheté du pain et la date est… J'ai acheté du pain et la date est dépassé la date et du 13/02/2020 et on est le 14 je l'ai pas vu le pain et encore bon ils auraient dû l'enlever,40,TRUE,FALSE,TRUE,FALSE,FALSE
38,1,Suite à des courses effectuées dans un…,Suite à des courses effectuées dans un carrefour market à la Flèche en sarthe j'ai acheté une salade mix au poulet rôti périmée depuis une journée c'est une honte pour une grande surface de laisser un produit périmé de cette nature dommage que je n'ai pas vérifié en l'achetant du coup je n'ai rien mangé pendant ma pause repas j'ai quand même gardé le ticket de caisse et prix une photo de la date sur l'emballage. Heureusement que j'ai vu la date avant de la manger j'aurais pu être malade.,Suite à des courses effectuées dans un… Suite à des courses effectuées dans un carrefour market à la Flèche en sarthe j'ai acheté une salade mix au poulet rôti périmée depuis une journée c'est une honte pour une grande surface de laisser un produit périmé de cette nature dommage que je n'ai pas vérifié en l'achetant du coup je n'ai rien mangé pendant ma pause repas j'ai quand même gardé le ticket de caisse et prix une photo de la date sur l'emballage. Heureusement que j'ai vu la date avant de la manger j'aurais pu être malade.,97,TRUE,FALSE,TRUE,FALSE,FALSE
1971,1,"inacceptable, mauvais service après-vente","Je fais toutes mes courses chaque semaine à carrefour et j'en suis très satisfaite. C'est pourquoi j'étais pleinement confiante de commander chez carrefour.fr. par internet. Malheureusement, ça s'est très mal passé. Le produit était défectueux. J'ai eu de gros problèmes de communication avec le service après-vente. Le produit n'a jamais bien fonctionné. En plus au lieu de prélever le paiement 1 fois par mois pendant 3 mois, ils m'ont prélevé 2 mois en même temps, je n'avais plus d'argent du tout pour manger, ils ont fini quand même après avoir beaucoup insisté par me rendre mon argent ce mois là. J'étais exaspérée, j'ai demandé réparation du préjudice. J'étais contente car ils m'ont versé 500 euros.; sauf que par la suite ils m'ont prélevé tous les mois pour rembourser cette somme de 500 euros avec des intérets exorbitants et je paie encore 4 ans après. Merci à Trustpilot de me donner la parole, car je suis une personne seule et sans défense.","inacceptable, mauvais service après-vente Je fais toutes mes courses chaque semaine à carrefour et j'en suis très satisfaite. C'est pourquoi j'étais pleinement confiante de commander chez carrefour.fr. par internet. Malheureusement, ça s'est très mal passé. Le produit était défectueux. J'ai eu de gros problèmes de communication avec le service après-vente. Le produit n'a jamais bien fonctionné. En plus au lieu de prélever le paiement 1 fois par mois pendant 3 mois, ils m'ont prélevé 2 mois en même temps, je n'avais plus d'argent du tout pour manger, ils ont fini quand même après avoir beaucoup insisté par me rendre mon argent ce mois là. J'étais exaspérée, j'ai demandé réparation du préjudice. J'étais contente car ils m'ont versé 500 euros.; sauf que par la suite ils m'ont prélevé tous les mois pour rembourser cette somme de 500 euros avec des intérets exorbitants et je paie encore 4 ans après. Merci à Trustpilot de me donner la parole, car je suis une personne seule et sans défense.",165,TRUE,FALSE,FALSE,FALSE,TRUE
1053,1,Publicité mensongère affiche un jeux…,Publicité mensongère affiche un jeux vidéos pas chère (et DISPONIBLE !!! ) sur internet mais en fait c est faux. Je vais contacter la répression des fraudes. Après un appelle au service client on me baratine sur l état des stocks. En 2020! Quelle honte! Un jour le jeudi est affiché disponible dans tel magasin et le le demain dans un autre. Je vais joindre une copie d écran à la DGCCRF,Publicité mensongère affiche un jeux… Publicité mensongère affiche un jeux vidéos pas chère (et DISPONIBLE !!! ) sur internet mais en fait c est faux. Je vais contacter la répression des fraudes. Après un appelle au service client on me baratine sur l état des stocks. En 2020! Quelle honte! Un jour le jeudi est affiché disponible dans tel magasin et le le demain dans un autre. Je vais joindre une copie d écran à la DGCCRF,77,TRUE,TRUE,FALSE,FALSE,FALSE
1926,1,Carrefour site à fuir !!!!,"Commande passée le 28/11 avec une livraison sous 3 jours ouvrés en point relais Carrefour Market. J'en suis arrivé à écrire une LRAR pour annuler la commande, à écrire à la DDPP du 91 pour dénoncer ce site, prochaine étape le juge de proximité.Jamais eu de réponse aux x messages envoyés, les appels au service clientèle n'aboutissent jamais (répondeur) et leur service consommateur qui prend en charge votre réclamation vous communique un numéro de dossier auquel vous n'avez jamais de réponse.","Carrefour site à fuir !!!! Commande passée le 28/11 avec une livraison sous 3 jours ouvrés en point relais Carrefour Market. J'en suis arrivé à écrire une LRAR pour annuler la commande, à écrire à la DDPP du 91 pour dénoncer ce site, prochaine étape le juge de proximité.Jamais eu de réponse aux x messages envoyés, les appels au service clientèle n'aboutissent jamais (répondeur) et leur service consommateur qui prend en charge votre réclamation vous communique un numéro de dossier auquel vous n'avez jamais de réponse.",86,TRUE,FALSE,FALSE,FALSE,FALSE
221,1,Ce matin au supermarché de Berck,"Ce matin au supermarché de Berck, je veux utiliser ma cagnotte (8 euros environ vérifiée le matin même sur mon compte clent), réponse pas de cagnotte. Je continue mes courses au supermarket de Rang-du-Fliers et là bingo ma cagnotte réapparaît! ça pue le bidouillage informatique, d'autant que ce n'est la première fois. Toujours à Berck au rayon charcuterie il y a une affichette pour une promotion (22.90€) sur le jambon de Parme Montorsi. La vendeuse me propose le Serano Montorsi à la place et refuse de me vendre le Parme de Carrefour à ce prix. Infraction caractérisée au code de la consommation. Si seulement c'était la seule fois!","Ce matin au supermarché de Berck Ce matin au supermarché de Berck, je veux utiliser ma cagnotte (8 euros environ vérifiée le matin même sur mon compte clent), réponse pas de cagnotte. Je continue mes courses au supermarket de Rang-du-Fliers et là bingo ma cagnotte réapparaît! ça pue le bidouillage informatique, d'autant que ce n'est la première fois. Toujours à Berck au rayon charcuterie il y a une affichette pour une promotion (22.90€) sur le jambon de Parme Montorsi. La vendeuse me propose le Serano Montorsi à la place et refuse de me vendre le Parme de Carrefour à ce prix. Infraction caractérisée au code de la consommation. Si seulement c'était la seule fois!",114,TRUE,TRUE,FALSE,FALSE,FALSE
210,1,arnaque carrefour,"Bjr je suis passé au magasin de Collégien. Dans le rayon de boucherie j ai choisi deux pack de viande avec  le sticker - 10% sur pack.Après passé en caisse en vérifiant le ticket je constate que la remise n était pas applique.Donc je vais au sce d accueil qui contacte le chef du rayon Mr Lionel Kekerdijan qui m a expliqué que le prix sur le pack était déjà déduit et il s est sauvé Rien n était marqué que le prix est nette Pour moi c est de l arnaque pur et simple.J était commercial pendant 50 ans et j ai jamais vu une chose pareil.En simple client je vois une remise je prends.Mais quand me ne dise pas que le prix était déjà déduit.Pour moi le chef de rayon mentionnais ci dessus n est pas a sa place car il n a pas trouvé une solution .J ai sais que la somme n était pas énorme,mais pour moi c est une question de principe et j apprécie le travail bien fait.Je pense que ce chef de rayon a oublié que c est les clients qui font sa paye.Cdt   Mr Tréville  Richard","arnaque carrefour Bjr je suis passé au magasin de Collégien. Dans le rayon de boucherie j ai choisi deux pack de viande avec  le sticker - 10% sur pack.Après passé en caisse en vérifiant le ticket je constate que la remise n était pas applique.Donc je vais au sce d accueil qui contacte le chef du rayon Mr Lionel Kekerdijan qui m a expliqué que le prix sur le pack était déjà déduit et il s est sauvé Rien n était marqué que le prix est nette Pour moi c est de l arnaque pur et simple.J était commercial pendant 50 ans et j ai jamais vu une chose pareil.En simple client je vois une remise je prends.Mais quand me ne dise pas que le prix était déjà déduit.Pour moi le chef de rayon mentionnais ci dessus n est pas a sa place car il n a pas trouvé une solution .J ai sais que la somme n était pas énorme,mais pour moi c est une question de principe et j apprécie le travail bien fait.Je pense que ce chef de rayon a oublié que c est les clients qui font sa paye.Cdt   Mr Tréville  Richard",196,TRUE,TRUE,FALSE,FALSE,FALSE
1574,1,Concernant le carrefour drive,"Concernant le carrefour drive, ils ne sont pas au niveau attendu...C'est nul! Vous attendez des plombes, les employés passent à côté de vous sans rien vous demander (ils doivent avoir peur des clients!), les commandes sont incomplètes... A fuir...Cette année, j'ai essayé les commandes de fourniture pour mes enfants via internet et carrefour...Livraison en 2 à 4 jours ouvrés...Commande reçue au bout de 6 jours...et les mêmes travers, pour récupérer la commande, les employés ne savent pas, vous poirotés...En bref, pour ma part, le vaccin contre les drive carrefour est fait...Plus jamais...A vouloir tout faire (hyper, drive, assurances...), ils pataugent, comme bon nombre de ""world company""!","Concernant le carrefour drive Concernant le carrefour drive, ils ne sont pas au niveau attendu...C'est nul! Vous attendez des plombes, les employés passent à côté de vous sans rien vous demander (ils doivent avoir peur des clients!), les commandes sont incomplètes... A fuir...Cette année, j'ai essayé les commandes de fourniture pour mes enfants via internet et carrefour...Livraison en 2 à 4 jours ouvrés...Commande reçue au bout de 6 jours...et les mêmes travers, pour récupérer la commande, les employés ne savent pas, vous poirotés...En bref, pour ma part, le vaccin contre les drive carrefour est fait...Plus jamais...A vouloir tout faire (hyper, drive, assurances...), ils pataugent, comme bon nombre de ""world company""!",110,TRUE,FALSE,FALSE,TRUE,FALSE
1247,1,Service livraison et service client…,"Service livraison et service client incompétent quand un livreur oublie de vous livrer la moitié de la commande, à savoir tous les produits frais!Inadmissible, et les interlocuteurs me baladent depuis plus d'un jour et n'ont aucune info sérieuse à me transmettre, et aucun responsable ne me rappelle alors que c'est ma demande depuis hier soir... Il n'y a donc aucun responsable chez Carrefour?? Bravo pour le service rendu!","Service livraison et service client… Service livraison et service client incompétent quand un livreur oublie de vous livrer la moitié de la commande, à savoir tous les produits frais!Inadmissible, et les interlocuteurs me baladent depuis plus d'un jour et n'ont aucune info sérieuse à me transmettre, et aucun responsable ne me rappelle alors que c'est ma demande depuis hier soir... Il n'y a donc aucun responsable chez Carrefour?? Bravo pour le service rendu!",73,FALSE,FALSE,FALSE,TRUE,TRUE
1556,1,INCOMPÉTENTS !!!,"INCOMPÉTENTS !!!J’ai commandé des fournitures scolaires en ligne plus de 10 jours avant la rentrée. Je n’ai rien reçu pour la rentrée, mes enfants n’avaient leurs fournitures pour la rentrée. J’ai dû faire plusieurs magasins en catastrophe pour tout racheter plus cher car il n’y avait plus rien en rayons. Je reçois mes colis 15 jours plus tard abîmés, ils ont pris l’eau. Je leur demande de me rembourser. Ils repoussent ma demande en me proposant des bons d’achat pour qques euros sur leur site (plus jamais !!). Au final ils acceptent de me rembourser si je renvoie le reste des colis non abimés à mes frais. C’est inacceptable !!!","INCOMPÉTENTS !!! INCOMPÉTENTS !!!J’ai commandé des fournitures scolaires en ligne plus de 10 jours avant la rentrée. Je n’ai rien reçu pour la rentrée, mes enfants n’avaient leurs fournitures pour la rentrée. J’ai dû faire plusieurs magasins en catastrophe pour tout racheter plus cher car il n’y avait plus rien en rayons. Je reçois mes colis 15 jours plus tard abîmés, ils ont pris l’eau. Je leur demande de me rembourser. Ils repoussent ma demande en me proposant des bons d’achat pour qques euros sur leur site (plus jamais !!). Au final ils acceptent de me rembourser si je renvoie le reste des colis non abimés à mes frais. C’est inacceptable !!!",112,TRUE,TRUE,FALSE,TRUE,TRUE
1787,1,Je parle du carrefour contact de Fourchambault,Je parle du carrefour contact de FourchambaultLes patron parle comme des chiens aux employés et surtout aux clients c inadmissible la dernière il m'ont carrément dit d'allez voir ailleurs de plus il y a beaucoup de produits périmé en rayon et c moisi dans mes frigo.J'espère que la direction de carrefour va faire quelque chose en conséquence.,Je parle du carrefour contact de Fourchambault Je parle du carrefour contact de FourchambaultLes patron parle comme des chiens aux employés et surtout aux clients c inadmissible la dernière il m'ont carrément dit d'allez voir ailleurs de plus il y a beaucoup de produits périmé en rayon et c moisi dans mes frigo.J'espère que la direction de carrefour va faire quelque chose en conséquence.,64,TRUE,TRUE,TRUE,FALSE,FALSE
