,titles,ratings,reviews,dates,replies,reply_dates,clean_review,combined_reviews
260,Promo ratée,1,"Suis allée Carrefour le 1er jour d'une promo et comme bien souvent rien en rayon😔
Carrefour Auchy les Mines  sacs 6kgs croquettes Purina 1 acheté le 2eme - 68%",2022-06-14T19:28:11.000Z,"Bonjour, pouvez-vous nous préciser à quel article et quel magasin faites-vous référence svp ? A votre écoute,",2022-06-14T19:21:59.347Z,Suis allée Carrefour le 1er jour d'une promo et comme bien souvent rien en rayon😔Carrefour Auchy les Mines  sacs 6kgs croquettes Purina 1 acheté le 2eme - 68%,Promo ratée Suis allée Carrefour le 1er jour d'une promo et comme bien souvent rien en rayon😔Carrefour Auchy les Mines  sacs 6kgs croquettes Purina 1 acheté le 2eme - 68%
261,Beaucoup de promotions mais très…,3,"Beaucoup de promotions mais très souvent les prix sont erronés ou produits absents,avec scan pass on constate rapidement les erreurs et il y en a a chaque passage en caisse (magasin saran )c commercial cap saran 2601 route nationale 20 45770 saran
Vraiment dommage",2022-06-15T10:12:21.000Z,Merci pour l'adresse du magasin. Pouvez-vous nous indiquer des exemples de produits pour lesquels vous avez constaté un différentiel de prix et vos coordonnées à laurent_belen@carrefour.com ? Nous vous remercions. L'équipe Carrefour,2022-06-15T11:40:14.983Z,"Beaucoup de promotions mais très souvent les prix sont erronés ou produits absents,avec scan pass on constate rapidement les erreurs et il y en a a chaque passage en caisse (magasin saran )c commercial cap saran 2601 route nationale 20 45770 saranVraiment dommage","Beaucoup de promotions mais très… Beaucoup de promotions mais très souvent les prix sont erronés ou produits absents,avec scan pass on constate rapidement les erreurs et il y en a a chaque passage en caisse (magasin saran )c commercial cap saran 2601 route nationale 20 45770 saranVraiment dommage"
262,Avec Carrefour je positive plus du tout😡,1,"Carrefour Antibes Chemin de Saint-Claude Bretelle De L'autoroute, 06600 Antibes

il y a 15 jours : terrine de canard périmée depuis 10  jours, j'ai été remboursée mais quand-même !
Hier dimanche 12 juin 2022, pain noirci sur le dessous avec soit 1 cafard soit une mouche bref plaques de cuisson visiblement pas nettoyées,
Moins grave même jour achat d'un bouquet de pivoines tout pourri.
La charmante dame de l'accueil à qui j'ai rapporté le pain avec bestiole m'a répondu : ""et... ?""
Et... peut-être vais-je demander un contrôle à la DGCCRF",2022-06-15T06:45:10.000Z,"Bonjour, Pouvez-vous nous préciser de quel magasin il s'agit exactement ? Nous vous remercions. L'équipe Carrefour",2022-06-13T11:39:33.708Z,"Carrefour Antibes Chemin de Saint-Claude Bretelle De L'autoroute, 06600 Antibesil y a 15 jours : terrine de canard périmée depuis 10  jours, j'ai été remboursée mais quand-même !Hier dimanche 12 juin 2022, pain noirci sur le dessous avec soit 1 cafard soit une mouche bref plaques de cuisson visiblement pas nettoyées,Moins grave même jour achat d'un bouquet de pivoines tout pourri.La charmante dame de l'accueil à qui j'ai rapporté le pain avec bestiole m'a répondu : ""et... ?""Et... peut-être vais-je demander un contrôle à la DGCCRF","Avec Carrefour je positive plus du tout😡 Carrefour Antibes Chemin de Saint-Claude Bretelle De L'autoroute, 06600 Antibesil y a 15 jours : terrine de canard périmée depuis 10  jours, j'ai été remboursée mais quand-même !Hier dimanche 12 juin 2022, pain noirci sur le dessous avec soit 1 cafard soit une mouche bref plaques de cuisson visiblement pas nettoyées,Moins grave même jour achat d'un bouquet de pivoines tout pourri.La charmante dame de l'accueil à qui j'ai rapporté le pain avec bestiole m'a répondu : ""et... ?""Et... peut-être vais-je demander un contrôle à la DGCCRF"
263,Carrefour les arcades à noisy le grand,1,"Carrefour les arcades à noisy le grand 
Une catastrophe depuis quelques mois, vous arrivez en caisse et là pas de sacs cabas( a plusieurs reprises) ils vous proposent des sacs craft, super pratique 😡😡😡
Les rayons dans un bordel sans nom sans parler de certains vide, certains prix fait les deviner !!!
Aujourd’hui c’était la fois de trop , j’ai laissé mon chariot plein et je suis partie faire mes courses ailleurs
Carrefour noisy le grand plus jamais !!!!
PS: leur service livraison est autant me…que que tout le reste !!!",2022-06-07T22:19:47.000Z,"Bonjour, nous avons transmis votre message au magasin qui vous en remercie, dans sa démarche d’amélioration continue. Effectivement, l'approvisionnement des sacs plastiques comme des rayons peut être parfois compliqué par le contexte de certaines ruptures, et le magasin a récemment changé son service de livraison dont certains réglages sont encore à faire. Nous sommes à l’écoute de vos suggestions si vous le souhaitez. Nous vous souhaitons un bel après-midi. L’équipe Carrefour.",2022-06-08T14:02:48.275Z,"Carrefour les arcades à noisy le grand Une catastrophe depuis quelques mois, vous arrivez en caisse et là pas de sacs cabas( a plusieurs reprises) ils vous proposent des sacs craft, super pratique 😡😡😡Les rayons dans un bordel sans nom sans parler de certains vide, certains prix fait les deviner !!!Aujourd’hui c’était la fois de trop , j’ai laissé mon chariot plein et je suis partie faire mes courses ailleursCarrefour noisy le grand plus jamais !!!!PS: leur service livraison est autant me…que que tout le reste !!!","Carrefour les arcades à noisy le grand Carrefour les arcades à noisy le grand Une catastrophe depuis quelques mois, vous arrivez en caisse et là pas de sacs cabas( a plusieurs reprises) ils vous proposent des sacs craft, super pratique 😡😡😡Les rayons dans un bordel sans nom sans parler de certains vide, certains prix fait les deviner !!!Aujourd’hui c’était la fois de trop , j’ai laissé mon chariot plein et je suis partie faire mes courses ailleursCarrefour noisy le grand plus jamais !!!!PS: leur service livraison est autant me…que que tout le reste !!!"
264,Luminarc non merci rendez-nous les coupons de réduction,3,"Les offres des couteaux Sabatier c'était bien encore que on attend la livraison des commandes en particulier de l'introuvable bloc de couteau associé.
On repart pour une offre Luminarc pour ne plus faire de coupons de réduction. Non merci j'ai des tonnes de bocaux d'anciennes confitures à la maison avec tout ce qu'il faut de récipients plastiques/verre hermetiques ou pas.
Rendez-nous des vrais réductions !!!",2022-06-06T14:27:30.000Z,"Bonjour, nous vous remercions pour votre avis qui nous est précieux et que nous avons transmis au service concerné. De plus, nous vous conseillons de consulter notre programme de fidélité qui vous permet de bénéficier d'avantages pour votre pouvoir d'achat https://www.carrefour.fr/services/carte-carrefour?sq=fid%C3%83%C2%A9lit%C3%83%C2%A9&noRedirect Nous restons à votre écoute, et vous souhaitons une excellente fin de journée. L'équipe Carrefour",2022-06-06T15:45:15.290Z,Les offres des couteaux Sabatier c'était bien encore que on attend la livraison des commandes en particulier de l'introuvable bloc de couteau associé.On repart pour une offre Luminarc pour ne plus faire de coupons de réduction. Non merci j'ai des tonnes de bocaux d'anciennes confitures à la maison avec tout ce qu'il faut de récipients plastiques/verre hermetiques ou pas.Rendez-nous des vrais réductions !!!,Luminarc non merci rendez-nous les coupons de réduction Les offres des couteaux Sabatier c'était bien encore que on attend la livraison des commandes en particulier de l'introuvable bloc de couteau associé.On repart pour une offre Luminarc pour ne plus faire de coupons de réduction. Non merci j'ai des tonnes de bocaux d'anciennes confitures à la maison avec tout ce qu'il faut de récipients plastiques/verre hermetiques ou pas.Rendez-nous des vrais réductions !!!
265,Je me suis rendue à Carrefour Créteil,5,"Je me suis rendue à Carrefour Créteil, rayon mobiliers de jardin pour acheter une tonnelle 6x3 en promotion (69,90e) pour la célébration d’un anniversaire À mon arrivée, il n’y en avait plus… dommage mais Clément a enregistré mes coordonnées et le lendemain, suite à un désistement, il m’a téléphoné en me laissant un message si j’étais toujours intéressée. Rdv pris à 14h pour le retrait. Je tenais à le remercier pour son professionnalisme et sa réactivité suite au succès de cette tonnelle en promotion.",2022-06-06T09:34:38.000Z,"Bonjour, nous tenons à vous remercier pour votre message. Nos équipes font leur maximum pour satisfaire nos clients et être à leur écoute. C'est donc avec plaisir que nous transmettrons votre message à notre équipe de Carrefour Créteil, à Clément , ainsi qu'à nos équipes en interne. Ce type de retour est très important pour elles. Nous vous souhaitons une excellente journée. L'équipe Carrefour",2022-06-06T12:12:53.160Z,"Je me suis rendue à Carrefour Créteil, rayon mobiliers de jardin pour acheter une tonnelle 6x3 en promotion (69,90e) pour la célébration d’un anniversaire À mon arrivée, il n’y en avait plus… dommage mais Clément a enregistré mes coordonnées et le lendemain, suite à un désistement, il m’a téléphoné en me laissant un message si j’étais toujours intéressée. Rdv pris à 14h pour le retrait. Je tenais à le remercier pour son professionnalisme et sa réactivité suite au succès de cette tonnelle en promotion.","Je me suis rendue à Carrefour Créteil Je me suis rendue à Carrefour Créteil, rayon mobiliers de jardin pour acheter une tonnelle 6x3 en promotion (69,90e) pour la célébration d’un anniversaire À mon arrivée, il n’y en avait plus… dommage mais Clément a enregistré mes coordonnées et le lendemain, suite à un désistement, il m’a téléphoné en me laissant un message si j’étais toujours intéressée. Rdv pris à 14h pour le retrait. Je tenais à le remercier pour son professionnalisme et sa réactivité suite au succès de cette tonnelle en promotion."
266,Carrefour Sérignan : à fuir absolument,1,"Cela concerne le magasin de Sérignan, dit le plus cher de France :
Ce jour 30/05/2022, un lundi vers 14 h, rayons non rechargés, produits en promotion absents, prix de certains articles également absents des rayons, produits pas à leur place dans les linéaires avec des prix affichés correspondant à d'autres articles et le summum.... la musique à fond et les annonces qui ne vous donnent qu'une envie : celle de passer en caisse, vérifier son ticket et fuir.
Bref, magasin qui profite des touristes et qui mérite d'être contrôlé par qui de droit et être verbalisé.",2022-06-05T22:19:59.000Z,"Bonjour, nous vous remercions pour votre avis qui a bien été transmis au magasin de Serignan afin d'améliorer la situation.",2022-06-06T06:23:26.890Z,"Cela concerne le magasin de Sérignan, dit le plus cher de France :Ce jour 30/05/2022, un lundi vers 14 h, rayons non rechargés, produits en promotion absents, prix de certains articles également absents des rayons, produits pas à leur place dans les linéaires avec des prix affichés correspondant à d'autres articles et le summum.... la musique à fond et les annonces qui ne vous donnent qu'une envie : celle de passer en caisse, vérifier son ticket et fuir.Bref, magasin qui profite des touristes et qui mérite d'être contrôlé par qui de droit et être verbalisé.","Carrefour Sérignan : à fuir absolument Cela concerne le magasin de Sérignan, dit le plus cher de France :Ce jour 30/05/2022, un lundi vers 14 h, rayons non rechargés, produits en promotion absents, prix de certains articles également absents des rayons, produits pas à leur place dans les linéaires avec des prix affichés correspondant à d'autres articles et le summum.... la musique à fond et les annonces qui ne vous donnent qu'une envie : celle de passer en caisse, vérifier son ticket et fuir.Bref, magasin qui profite des touristes et qui mérite d'être contrôlé par qui de droit et être verbalisé."
267,Problème,1,"Bonjour, 

Le 25/09/2021 j'ai acheté une trottinette RENAULT prix affiché à 499 euros, en promo à 449 euros.


Au mois de mars 2022 je tombe en panne au bout de 4 kms. Batterie déchargée, je l'avais évidemment chargée.

Je la rapporte chez Carrefour, j'ai attendu 1 mois. On me la rend avec batterie changée.


Je repars travailler et tombe à nouveau en panne le 1/04/2022. On la renvoie au SAV. On me la rend avec batterie changée. Encore 1 mois d'attente.


Le 21/04/2022 on me la rend, je n'ai même pas pu l'essayer la roue arrière ne tourne plus. Apparemment le pédalier a été écrasé.

Je la reporte forcément. ""Ce n'est bien sûr la faute de personne"". Et elle repart en réparation. 


Le 11/05/2022 comme d'habitude je me rends à Carrefour, cette fois on me donne un devis à signer avec le motif suivant : vis de potence tordue avec photo à l'appui 51 euros ???????  

Je n'ai jamais ouvert cette potence, je ne sais même pas ce que c'est. 

Je refuse donc ce devis. Je vous rappelle qu'au début il s'agissait d'un problème de batterie.


Suite à ces problèmes le 17/05/2022 j'écris un commentaire très négatif sur le site des consommateurs.  Le 18/05/2022, vos services m'informent qu'ils prennent cette réparation à leur charge. C'est un minimum ! Je suppose qu'il s'agit là d'une coïncidence entre mon commentaire et votre mail...

Pour autant on ne me rend pas ma trottinette, maintenant il faut faire cette réparation évidemment !


Le départ de cette histoire étant une batterie qui se déchargeait au bout de 4 kms, donc rien à voir avec tous les problèmes qui se sont greffés ensuite.

Donc si je résume : 2 batteries changées (peut être !), un pédalier écrasé sur la roue arrière, une vis de potence tordue. Que va-t-on trouver la prochaine fois ? A-t-on épuisé toutes les excuses ?


Pour toutes ces raisons, je demande le remboursement de cette trottinette ou qu'on me la change. J'estime l'avoir payée suffisamment chère pour le peu de temps qu'elle m'a servi. C'est inadmissible d'acheter une trottinette à ce prix et d'en être privé depuis le mois de mars. Je ne veux pas d'une trottinette réparée de partout et abimée comme je l'ai récupérée la dernière fois. On dirait que je l'ai depuis des années alors que je vous l'ai apportée propre et entretenue.


Si je n'obtiens pas de solution je serais dans l'obligation de continuer mes commentaires sur votre site, voire plus. Ce n'est en aucun cas du chantage mais je suis client chez vous et donc s'il y a problème c'est à vous de rendre vos clients satisfaits et ne pas douter de leur honnêteté. 

Chaque fois que je me présente à l'accueil on ne peut rien faire il faut attendre. Et attendre ne me satisfait plus ! Ces employées sont là pour l'accueil et pas pour régler des problèmes qui ne sont pas de leur compétence.

Et moi je fais des allers retours à Carrefour à chaque fois pour rien. Je pense avoir été assez patient donc maintenant il faut que j'ai satisfaction. Je ne me rendrai plus à Carrefour


J'attends votre réponse,",2022-06-04T19:18:09.000Z,"Bonjour,",2022-06-06T06:13:30.197Z,"Bonjour, Le 25/09/2021 j'ai acheté une trottinette RENAULT prix affiché à 499 euros, en promo à 449 euros.Au mois de mars 2022 je tombe en panne au bout de 4 kms. Batterie déchargée, je l'avais évidemment chargée.Je la rapporte chez Carrefour, j'ai attendu 1 mois. On me la rend avec batterie changée.Je repars travailler et tombe à nouveau en panne le 1/04/2022. On la renvoie au SAV. On me la rend avec batterie changée. Encore 1 mois d'attente.Le 21/04/2022 on me la rend, je n'ai même pas pu l'essayer la roue arrière ne tourne plus. Apparemment le pédalier a été écrasé.Je la reporte forcément. ""Ce n'est bien sûr la faute de personne"". Et elle repart en réparation. Le 11/05/2022 comme d'habitude je me rends à Carrefour, cette fois on me donne un devis à signer avec le motif suivant : vis de potence tordue avec photo à l'appui 51 euros ???????  Je n'ai jamais ouvert cette potence, je ne sais même pas ce que c'est. Je refuse donc ce devis. Je vous rappelle qu'au début il s'agissait d'un problème de batterie.Suite à ces problèmes le 17/05/2022 j'écris un commentaire très négatif sur le site des consommateurs.  Le 18/05/2022, vos services m'informent qu'ils prennent cette réparation à leur charge. C'est un minimum ! Je suppose qu'il s'agit là d'une coïncidence entre mon commentaire et votre mail...Pour autant on ne me rend pas ma trottinette, maintenant il faut faire cette réparation évidemment !Le départ de cette histoire étant une batterie qui se déchargeait au bout de 4 kms, donc rien à voir avec tous les problèmes qui se sont greffés ensuite.Donc si je résume : 2 batteries changées (peut être !), un pédalier écrasé sur la roue arrière, une vis de potence tordue. Que va-t-on trouver la prochaine fois ? A-t-on épuisé toutes les excuses ?Pour toutes ces raisons, je demande le remboursement de cette trottinette ou qu'on me la change. J'estime l'avoir payée suffisamment chère pour le peu de temps qu'elle m'a servi. C'est inadmissible d'acheter une trottinette à ce prix et d'en être privé depuis le mois de mars. Je ne veux pas d'une trottinette réparée de partout et abimée comme je l'ai récupérée la dernière fois. On dirait que je l'ai depuis des années alors que je vous l'ai apportée propre et entretenue.Si je n'obtiens pas de solution je serais dans l'obligation de continuer mes commentaires sur votre site, voire plus. Ce n'est en aucun cas du chantage mais je suis client chez vous et donc s'il y a problème c'est à vous de rendre vos clients satisfaits et ne pas douter de leur honnêteté. Chaque fois que je me présente à l'accueil on ne peut rien faire il faut attendre. Et attendre ne me satisfait plus ! Ces employées sont là pour l'accueil et pas pour régler des problèmes qui ne sont pas de leur compétence.Et moi je fais des allers retours à Carrefour à chaque fois pour rien. Je pense avoir été assez patient donc maintenant il faut que j'ai satisfaction. Je ne me rendrai plus à CarrefourJ'attends votre réponse,","Problème Bonjour, Le 25/09/2021 j'ai acheté une trottinette RENAULT prix affiché à 499 euros, en promo à 449 euros.Au mois de mars 2022 je tombe en panne au bout de 4 kms. Batterie déchargée, je l'avais évidemment chargée.Je la rapporte chez Carrefour, j'ai attendu 1 mois. On me la rend avec batterie changée.Je repars travailler et tombe à nouveau en panne le 1/04/2022. On la renvoie au SAV. On me la rend avec batterie changée. Encore 1 mois d'attente.Le 21/04/2022 on me la rend, je n'ai même pas pu l'essayer la roue arrière ne tourne plus. Apparemment le pédalier a été écrasé.Je la reporte forcément. ""Ce n'est bien sûr la faute de personne"". Et elle repart en réparation. Le 11/05/2022 comme d'habitude je me rends à Carrefour, cette fois on me donne un devis à signer avec le motif suivant : vis de potence tordue avec photo à l'appui 51 euros ???????  Je n'ai jamais ouvert cette potence, je ne sais même pas ce que c'est. Je refuse donc ce devis. Je vous rappelle qu'au début il s'agissait d'un problème de batterie.Suite à ces problèmes le 17/05/2022 j'écris un commentaire très négatif sur le site des consommateurs.  Le 18/05/2022, vos services m'informent qu'ils prennent cette réparation à leur charge. C'est un minimum ! Je suppose qu'il s'agit là d'une coïncidence entre mon commentaire et votre mail...Pour autant on ne me rend pas ma trottinette, maintenant il faut faire cette réparation évidemment !Le départ de cette histoire étant une batterie qui se déchargeait au bout de 4 kms, donc rien à voir avec tous les problèmes qui se sont greffés ensuite.Donc si je résume : 2 batteries changées (peut être !), un pédalier écrasé sur la roue arrière, une vis de potence tordue. Que va-t-on trouver la prochaine fois ? A-t-on épuisé toutes les excuses ?Pour toutes ces raisons, je demande le remboursement de cette trottinette ou qu'on me la change. J'estime l'avoir payée suffisamment chère pour le peu de temps qu'elle m'a servi. C'est inadmissible d'acheter une trottinette à ce prix et d'en être privé depuis le mois de mars. Je ne veux pas d'une trottinette réparée de partout et abimée comme je l'ai récupérée la dernière fois. On dirait que je l'ai depuis des années alors que je vous l'ai apportée propre et entretenue.Si je n'obtiens pas de solution je serais dans l'obligation de continuer mes commentaires sur votre site, voire plus. Ce n'est en aucun cas du chantage mais je suis client chez vous et donc s'il y a problème c'est à vous de rendre vos clients satisfaits et ne pas douter de leur honnêteté. Chaque fois que je me présente à l'accueil on ne peut rien faire il faut attendre. Et attendre ne me satisfait plus ! Ces employées sont là pour l'accueil et pas pour régler des problèmes qui ne sont pas de leur compétence.Et moi je fais des allers retours à Carrefour à chaque fois pour rien. Je pense avoir été assez patient donc maintenant il faut que j'ai satisfaction. Je ne me rendrai plus à CarrefourJ'attends votre réponse,"
268,Cde passée pour un aspirateur Rowenta…,1,"Cde passée pour un aspirateur Rowenta RO7213EA Silence Force Cyclonic le 22/05/22 sur le site carrefour, confirmation de livraison le 25/05/22. Le 30/05/22 pas livré. Contact carrefour qui m’informe que colissimo a perdu le colis. Demande qu’on renvoie l’aspirateur réponse on vous rembourse, on ne peut pas vous en renvoyer un. Carrefour ne respecte pas ses CGV",2022-06-04T00:13:56.000Z,"Bonjour, afin d'examiner votre demande, pouvez-vous nous transmettre par mail votre numéro de commande ainsi que vos coordonnées (nom, prénom, mail, et numéro de téléphone) à laurent_belen@carrefour.com ?",2022-06-07T06:16:23.002Z,"Cde passée pour un aspirateur Rowenta RO7213EA Silence Force Cyclonic le 22/05/22 sur le site carrefour, confirmation de livraison le 25/05/22. Le 30/05/22 pas livré. Contact carrefour qui m’informe que colissimo a perdu le colis. Demande qu’on renvoie l’aspirateur réponse on vous rembourse, on ne peut pas vous en renvoyer un. Carrefour ne respecte pas ses CGV","Cde passée pour un aspirateur Rowenta… Cde passée pour un aspirateur Rowenta RO7213EA Silence Force Cyclonic le 22/05/22 sur le site carrefour, confirmation de livraison le 25/05/22. Le 30/05/22 pas livré. Contact carrefour qui m’informe que colissimo a perdu le colis. Demande qu’on renvoie l’aspirateur réponse on vous rembourse, on ne peut pas vous en renvoyer un. Carrefour ne respecte pas ses CGV"
269,CARREFOUR NICE LINGOSTIERE,1,CARREFOUR NICE LINGOSTIERE. Hier je suis allé faire mes courses comme toutes les semaines. J'habite à 30 kms Je passe à la caisse CARTE PASS et la caissiere avant de dire bonjour me demande d'ouvrier mes sacs ???? sac dans le caddy ouverts de les soulever ????? je ne crois pas être une voleuse mais j'ai vraiment eu l'impression d'en être une. OUF  elle ne m'a pas demandé de me deshabiller. Enervée je quitte le magasin et j'arrive à la maison 30 kms. je déballe mes courses et là je m'aperçois que le pyjama acheté pour mon petit fils à toujours l'antivol. Au lieu de demander à vos caissière de faire la police demander leur de faire correctement leur travail. Résultat des courses je suis obligée de redescendre pour faire enlever cet antivol qui va me rembourser le temps perdu et l'essence de mon véhicule ? Depuis 30 ans je vais dans ce magasin mais je pense sérieusement à faire quelques kilométres de plus et aller chez LECLERC.,2022-06-01T09:27:58.000Z,,,CARREFOUR NICE LINGOSTIERE. Hier je suis allé faire mes courses comme toutes les semaines. J'habite à 30 kms Je passe à la caisse CARTE PASS et la caissiere avant de dire bonjour me demande d'ouvrier mes sacs ???? sac dans le caddy ouverts de les soulever ????? je ne crois pas être une voleuse mais j'ai vraiment eu l'impression d'en être une. OUF  elle ne m'a pas demandé de me deshabiller. Enervée je quitte le magasin et j'arrive à la maison 30 kms. je déballe mes courses et là je m'aperçois que le pyjama acheté pour mon petit fils à toujours l'antivol. Au lieu de demander à vos caissière de faire la police demander leur de faire correctement leur travail. Résultat des courses je suis obligée de redescendre pour faire enlever cet antivol qui va me rembourser le temps perdu et l'essence de mon véhicule ? Depuis 30 ans je vais dans ce magasin mais je pense sérieusement à faire quelques kilométres de plus et aller chez LECLERC.,CARREFOUR NICE LINGOSTIERE CARREFOUR NICE LINGOSTIERE. Hier je suis allé faire mes courses comme toutes les semaines. J'habite à 30 kms Je passe à la caisse CARTE PASS et la caissiere avant de dire bonjour me demande d'ouvrier mes sacs ???? sac dans le caddy ouverts de les soulever ????? je ne crois pas être une voleuse mais j'ai vraiment eu l'impression d'en être une. OUF  elle ne m'a pas demandé de me deshabiller. Enervée je quitte le magasin et j'arrive à la maison 30 kms. je déballe mes courses et là je m'aperçois que le pyjama acheté pour mon petit fils à toujours l'antivol. Au lieu de demander à vos caissière de faire la police demander leur de faire correctement leur travail. Résultat des courses je suis obligée de redescendre pour faire enlever cet antivol qui va me rembourser le temps perdu et l'essence de mon véhicule ? Depuis 30 ans je vais dans ce magasin mais je pense sérieusement à faire quelques kilométres de plus et aller chez LECLERC.
270,Très déçu de Carrefour Nice,1,"Très déçu de Carrefour Nice, j ai voulu acheter un Cookeo étant handicapée j ai demandé à ce qu on me le livre à domicile , refus au motif qu il ne livre pas l électroménager, l affiche en caisse indique qu il ne livre pas le gros électroménager et je peux le comprendre mais un cookeo est un autocuiseur électrique 
Du coup je suis allée chez Darty qui m à livré 2 h plus tard",2022-06-01T06:27:56.000Z,"Bonjour,",2022-06-01T10:56:20.933Z,"Très déçu de Carrefour Nice, j ai voulu acheter un Cookeo étant handicapée j ai demandé à ce qu on me le livre à domicile , refus au motif qu il ne livre pas l électroménager, l affiche en caisse indique qu il ne livre pas le gros électroménager et je peux le comprendre mais un cookeo est un autocuiseur électrique Du coup je suis allée chez Darty qui m à livré 2 h plus tard","Très déçu de Carrefour Nice Très déçu de Carrefour Nice, j ai voulu acheter un Cookeo étant handicapée j ai demandé à ce qu on me le livre à domicile , refus au motif qu il ne livre pas l électroménager, l affiche en caisse indique qu il ne livre pas le gros électroménager et je peux le comprendre mais un cookeo est un autocuiseur électrique Du coup je suis allée chez Darty qui m à livré 2 h plus tard"
271,Gommette sur article non soldé,1,"Bonjour. Aujourd'hui j'ai acheté côté promotion un maillot de bain enfant avec une gommette rouge. Sensée être en promo, réduction faite en caisse. Et bien non! plein tarif. A l'accueil on m'a repondu que ces gommettes ne sont pas encore fonctionnelles, mises en avance pour les soldes, qui ne sont si je ne me trompes pas au mois de juillet. Tromperie. Ce n'est pas pour le prix mais on n'a pas le droit   de mettre une gommette avant les soldes c'est la loi. J'ai les photos du ticket et de l'article.",2022-05-30T15:45:54.000Z,"Bonjour, afin d'expertiser cette situation, nous aurions besoin de plus de précisions. Pourriez-vous nous rejoindre sur nos réseaux sociaux ou ici https://www.carrefour.fr/services/nous-contacter/formulaire afin de vous apporter une réponse circonstanciée. Merci par avance, L'équipe Carrefour",2022-05-30T19:52:36.330Z,"Bonjour. Aujourd'hui j'ai acheté côté promotion un maillot de bain enfant avec une gommette rouge. Sensée être en promo, réduction faite en caisse. Et bien non! plein tarif. A l'accueil on m'a repondu que ces gommettes ne sont pas encore fonctionnelles, mises en avance pour les soldes, qui ne sont si je ne me trompes pas au mois de juillet. Tromperie. Ce n'est pas pour le prix mais on n'a pas le droit   de mettre une gommette avant les soldes c'est la loi. J'ai les photos du ticket et de l'article.","Gommette sur article non soldé Bonjour. Aujourd'hui j'ai acheté côté promotion un maillot de bain enfant avec une gommette rouge. Sensée être en promo, réduction faite en caisse. Et bien non! plein tarif. A l'accueil on m'a repondu que ces gommettes ne sont pas encore fonctionnelles, mises en avance pour les soldes, qui ne sont si je ne me trompes pas au mois de juillet. Tromperie. Ce n'est pas pour le prix mais on n'a pas le droit   de mettre une gommette avant les soldes c'est la loi. J'ai les photos du ticket et de l'article."
272,A déconseiller vivement autant ds le…,1,"A déconseiller vivement autant ds le traitement des sinistres que ds leur finalité le règlement des indemnités réglées  qu bout de 12 mois, demande virement 4 mois s écoulent toujours rien alors que cet argent ne leur appartient pas très déçue de ce comportement aucun responsable ne vs répond, n ai été en contact très sympathique et qui vs défend, la personne qui s occupé dès avis et qui vous cherche la solution  a éviter comme assureur",2022-05-30T09:28:48.000Z,"Bonjour, afin d'expertiser cette situation, nous aurions besoin de plus de précisions. Pourriez-vous nous rejoindre sur nos réseaux sociaux ou ici https://www.carrefour-banque.fr/telephone  afin de vous apporter une réponse circonstanciée. Merci par avance, L'équipe Carrefour",2022-05-30T10:55:15.955Z,"A déconseiller vivement autant ds le traitement des sinistres que ds leur finalité le règlement des indemnités réglées  qu bout de 12 mois, demande virement 4 mois s écoulent toujours rien alors que cet argent ne leur appartient pas très déçue de ce comportement aucun responsable ne vs répond, n ai été en contact très sympathique et qui vs défend, la personne qui s occupé dès avis et qui vous cherche la solution  a éviter comme assureur","A déconseiller vivement autant ds le… A déconseiller vivement autant ds le traitement des sinistres que ds leur finalité le règlement des indemnités réglées  qu bout de 12 mois, demande virement 4 mois s écoulent toujours rien alors que cet argent ne leur appartient pas très déçue de ce comportement aucun responsable ne vs répond, n ai été en contact très sympathique et qui vs défend, la personne qui s occupé dès avis et qui vous cherche la solution  a éviter comme assureur"
