,original,summary,top_3,proper_n
10,Distanciation inexistante au carrefour… Distanciation inexistante au carrefour part dieu j'ai dû me fâcher avec une cliente qui ne voulait rien comprendre...en regardant autour de moi personne ne respecte  c'est honteux au vu de la situation sanitaire. Suggestion passer une annonce toute les 10 minutes afin que les gens respecte les gestes barrières.,Le Monde.fr vous propose une série d'émissions à (re)découvrir en différé.,"['minutes,', 'carrefour,', 'distanciation']",['dieu']
11,"Un achat Black Friday qui a viré au cauchemar J’ai passer une commande le 27/11 pour un ordinateur portable, que j’ai annuler, puis j’ai passé une autre commande que j’ai reçu.Conclusion la première commande n’a jamais été annuler elle a été envoyé sans information correcte du coup le transporteur la retourné à l’expéditeur, et la deuxième commande le produit était défectueux, je le revois et je passes au moins 20 appels pour signaler le défectueux pour enfin réussir à le renvoyer, puis je passe plus de 30 appels pour signaler que la première commande à été retourné chez eux.La nous somme le 10/12 mon argent est toujours chez Carrefour et aucun mail de remboursement n’a atterri dans ma boîte mail.SVP si vous voulez acheter des produits de valeur ne le faite pas chez Carrefour c’est un disaster !! AMAZON est le roi du E-commerce.","« Le Monde » a demandé à des contributeurs de proposer, chaque jour, une idée pour changer la France. Aujourd’hui, JP Géné déjeune avec Jean-François Copé.","['produit,', 'expéditeur,', 'commande']",['amazon']
12,"Allo monsieur Bompard ! Allo monsieur Bompard !Honteux, scandaleux, votre service d'appel au 0806060601 Attente interminable sans aucun message d'attente. Je ne m'insurge pas contre l'attente qui peut se comprendre mais bien contre la procédure.  Vos ""têtes pensantes"" chargées de la mise en place de ces procédures utilisent-ils eux même leurs services ? Faites le test !",Le service d'appel au 0806060601 arrive à l'aéroport de Paris-Charles-de-Gaulle.,"['bompard,', 'procédure,', 'procédures']",['allo']
13,J'ai acheté du pain et la date est… J'ai acheté du pain et la date est dépassé la date et du 13/02/2020 et on est le 14 je l'ai pas vu le pain et encore bon ils auraient dû l'enlever,J'ai acheté du pain et la date est dépassé la date et du 13 février20 et on est le 14 je l'ai pas vu le pain et encore bon ils auraient auraient auraient pu...,"['02,', 'date,', 'pain']",[]
14,Suite à des courses effectuées dans un… Suite à des courses effectuées dans un carrefour market à la Flèche en sarthe j'ai acheté une salade mix au poulet rôti périmée depuis une journée c'est une honte pour une grande surface de laisser un produit périmé de cette nature dommage que je n'ai pas vérifié en l'achetant du coup je n'ai rien mangé pendant ma pause repas j'ai quand même gardé le ticket de caisse et prix une photo de la date sur l'emballage. Heureusement que j'ai vu la date avant de la manger j'aurais pu être malade.,"Suite à des courses effectuées dans un carrefour market à la Flèche en sarthe, j'ai acheté une salade mix au poulet rôti périmée depuis une journée.","['produit,', 'dommage,', 'repas']",[]
15,"inacceptable, mauvais service après-vente Je fais toutes mes courses chaque semaine à carrefour et j'en suis très satisfaite. C'est pourquoi j'étais pleinement confiante de commander chez carrefour.fr. par internet. Malheureusement, ça s'est très mal passé. Le produit était défectueux. J'ai eu de gros problèmes de communication avec le service après-vente. Le produit n'a jamais bien fonctionné. En plus au lieu de prélever le paiement 1 fois par mois pendant 3 mois, ils m'ont prélevé 2 mois en même temps, je n'avais plus d'argent du tout pour manger, ils ont fini quand même après avoir beaucoup insisté par me rendre mon argent ce mois là. J'étais exaspérée, j'ai demandé réparation du préjudice. J'étais contente car ils m'ont versé 500 euros.; sauf que par la suite ils m'ont prélevé tous les mois pour rembourser cette somme de 500 euros avec des intérets exorbitants et je paie encore 4 ans après. Merci à Trustpilot de me donner la parole, car je suis une personne seule et sans défense.","A l'occasion des fêtes de fin d'année, Le Monde.fr propose aux lecteurs de ""Monde"" une série d'émissions à (re)découvrir en différé. Cette semaine : ""L'Epoqueque","['merci,', 'problèmes,', 'paiement']",['trustpilot']
16,Publicité mensongère affiche un jeux… Publicité mensongère affiche un jeux vidéos pas chère (et DISPONIBLE !!! ) sur internet mais en fait c est faux. Je vais contacter la répression des fraudes. Après un appelle au service client on me baratine sur l état des stocks. En 2020! Quelle honte! Un jour le jeudi est affiché disponible dans tel magasin et le le demain dans un autre. Je vais joindre une copie d écran à la DGCCRF,« Le Monde » lance un appel à témoignages pour dénoncer les publicités mensongères diffusées sur Internet.,"['jeudi,', 'jeux,', 'magasin']",[]
17,"Carrefour site à fuir !!!! Commande passée le 28/11 avec une livraison sous 3 jours ouvrés en point relais Carrefour Market. J'en suis arrivé à écrire une LRAR pour annuler la commande, à écrire à la DDPP du 91 pour dénoncer ce site, prochaine étape le juge de proximité.Jamais eu de réponse aux x messages envoyés, les appels au service clientèle n'aboutissent jamais (répondeur) et leur service consommateur qui prend en charge votre réclamation vous communique un numéro de dossier auquel vous n'avez jamais de réponse.",La commande passée le 28/11 avec une livraison sous 3 jours ouvrés en point relais Carrefour a été annulée.,"['réponse,', 'réclamation,', 'appels']",['lrar']
18,"Ce matin au supermarché de Berck Ce matin au supermarché de Berck, je veux utiliser ma cagnotte (8 euros environ vérifiée le matin même sur mon compte clent), réponse pas de cagnotte. Je continue mes courses au supermarket de Rang-du-Fliers et là bingo ma cagnotte réapparaît! ça pue le bidouillage informatique, d'autant que ce n'est la première fois. Toujours à Berck au rayon charcuterie il y a une affichette pour une promotion (22.90€) sur le jambon de Parme Montorsi. La vendeuse me propose le Serano Montorsi à la place et refuse de me vendre le Parme de Carrefour à ce prix. Infraction caractérisée au code de la consommation. Si seulement c'était la seule fois!","Notre blogueur Guillaume Ouattara, auteur d'un blog sur le sujet, s'est rendu compte qu'il n'y avait pas de cagnotte de l'ordre de 100 euros.","['cagnotte,', 'vendeuse,', 'berck']",['bingo']
19,"arnaque carrefour Bjr je suis passé au magasin de Collégien. Dans le rayon de boucherie j ai choisi deux pack de viande avec  le sticker - 10% sur pack.Après passé en caisse en vérifiant le ticket je constate que la remise n était pas applique.Donc je vais au sce d accueil qui contacte le chef du rayon Mr Lionel Kekerdijan qui m a expliqué que le prix sur le pack était déjà déduit et il s est sauvé Rien n était marqué que le prix est nette Pour moi c est de l arnaque pur et simple.J était commercial pendant 50 ans et j ai jamais vu une chose pareil.En simple client je vois une remise je prends.Mais quand me ne dise pas que le prix était déjà déduit.Pour moi le chef de rayon mentionnais ci dessus n est pas a sa place car il n a pas trouvé une solution .J ai sais que la somme n était pas énorme,mais pour moi c est une question de principe et j apprécie le travail bien fait.Je pense que ce chef de rayon a oublié que c est les clients qui font sa paye.Cdt   Mr Tréville  Richard","Notre journaliste Antoine Vayer a passé près de deux semaines à Collégien, dans le nord-est de l'Australie.","['prix,', 'bjr,', 'boucherie']","['cdt,', 'lionel,', 'mr,', 'richard']"
20,"Concernant le carrefour drive Concernant le carrefour drive, ils ne sont pas au niveau attendu...C'est nul! Vous attendez des plombes, les employés passent à côté de vous sans rien vous demander (ils doivent avoir peur des clients!), les commandes sont incomplètes... A fuir...Cette année, j'ai essayé les commandes de fourniture pour mes enfants via internet et carrefour...Livraison en 2 à 4 jours ouvrés...Commande reçue au bout de 6 jours...et les mêmes travers, pour récupérer la commande, les employés ne savent pas, vous poirotés...En bref, pour ma part, le vaccin contre les drive carrefour est fait...Plus jamais...A vouloir tout faire (hyper, drive, assurances...), ils pataugent, comme bon nombre de ""world company""!","Le carrefour d'rive, qui se trouve à côté de l'ancienne gare, est devenu un carrefour de plus en plus prisé des touristes.","['commandes,', 'livraison,', 'carrefour']",[]
21,"Service livraison et service client… Service livraison et service client incompétent quand un livreur oublie de vous livrer la moitié de la commande, à savoir tous les produits frais!Inadmissible, et les interlocuteurs me baladent depuis plus d'un jour et n'ont aucune info sérieuse à me transmettre, et aucun responsable ne me rappelle alors que c'est ma demande depuis hier soir... Il n'y a donc aucun responsable chez Carrefour?? Bravo pour le service rendu!",Le service livraison et service client... de service livraison... Les interlocuteurs vous conseillent.,"['responsable,', 'livreur,', 'livraison']",['bravo']
22,"INCOMPÉTENTS !!! INCOMPÉTENTS !!!J’ai commandé des fournitures scolaires en ligne plus de 10 jours avant la rentrée. Je n’ai rien reçu pour la rentrée, mes enfants n’avaient leurs fournitures pour la rentrée. J’ai dû faire plusieurs magasins en catastrophe pour tout racheter plus cher car il n’y avait plus rien en rayons. Je reçois mes colis 15 jours plus tard abîmés, ils ont pris l’eau. Je leur demande de me rembourser. Ils repoussent ma demande en me proposant des bons d’achat pour qques euros sur leur site (plus jamais !!). Au final ils acceptent de me rembourser si je renvoie le reste des colis non abimés à mes frais. C’est inacceptable !!!","« Je n’ai rien reçu pour la rentrée, mes enfants n’avaient leurs fournitures scolaires en ligne plus de 10 jours avant la rentrée », explique-t-il.","['achat,', 'colis,', 'fournitures']",[]
23,Je parle du carrefour contact de Fourchambault Je parle du carrefour contact de FourchambaultLes patron parle comme des chiens aux employés et surtout aux clients c inadmissible la dernière il m'ont carrément dit d'allez voir ailleurs de plus il y a beaucoup de produits périmé en rayon et c moisi dans mes frigo.J'espère que la direction de carrefour va faire quelque chose en conséquence.,"Notre chroniqueur a répondu à l'appel d'Alice Zénith : ""Je parle comme des chiens aux employés et surtout aux clients c inadmissible la dernière il m'a carrément dit d'aller voir ailleurs.""","['produits,', 'carrefour,', 'fourchambault']",[]
24,"NE PAS COMMANDER !!!! j'ai eu un rendez vous avec un transporteur qui n'est pas passé bien sur sans prévenir, j'ai du appeler 15 000 fois le SAV plateforme qui se trouve au Maroc aucuns renseignements tout le monde s'en fou, c'est inacceptable de traiter les clients comme ça BRAVO, C'est un cadeau pour Noel dont je ne suis pas sur d'avoir en temps et en heure pour mon fils de 3 ans et forcément je ne le retrouverai plus disponible dans d'autres magasins Voilà comment saboter un NOEL Grand Merci !!! ****JE NE RECOMMANDE PAS CARREFOUR ON LINE FUIYEZ *******","J'ai eu un rendez-vous avec un transporteur qui n'est pas passé bien sur sans prévenir, j'ai dû appeler 15 000 fois le SAV plateforme qui se trouve au Maroc aucuns renseignements tout le le lent.","['sav,', 'magasins,', 'cadeau']","['bravo,', 'noel']"
25,"Rude, insultant et cher Personnel souvent rude voire agressif. Service de securite qui traite les clients comme des voleurs. Les caissieres ne sont pas abilitees a l'inspection visuelle des sacs. Cher. Les fruits et legumes sont trop souvent pouris.",Les caissieres ne sont pas abilitees a l'inspection visuelle des sacs.,"['inspection,', 'abilitees,', 'legumes']",[]
26,"Depuis plus de 20 ans je fréquente… Depuis plus de 20 ans je fréquente carrefour ste Geneviève des Bois et ai vu défilé plusieurs directeurs . Deux étaient vraiment sérieux. Depuis 4 ans  l ambiance du magasin s est gravement dégradée, les employés sont tristes comme l'est devenu le magasin. La directrice Amandine Levine se prend pour une starlette d émission réalité et harcèle les clients et ne respecte pas les règles de distanciations pour parler. Le magasin a de très nombreux périmés . Le parking à des trous dangereux, des alcooliques, des roms qui fouillent dans nos caddies devant nos coffres, que du bonheur. Heureusement il y a de nombreuses autres enseignes de supermarchés autour. Carrefour ste Geneviève des Bois qui offre aux clients des sacs avec la photo du magasin, avouez ça motive!!!!L ambiance du magasin et son environnement sont très importants pour motiver les clients, là il n'y a plus rien! Un ancien directeur Mr collet avait tout compris, mais il est parti malheureusement.","Depuis plus de vingt ans, je fréquente... carrefour ste Geneviève des Bois et ai vu défiler plusieurs directeurs horizonaux.","['enseignes,', 'supermarchés,', 'magasin']","['mr,', 'ste']"
27,"Reservation Couteaux Sabatier: galère ++++++ J'ai téléphoné à Carrefour-fidélité  cet a.m. : le bug serait dû au fait qu'il y a trop d'acheteurs en même temps......???Nouvelle tentative de commande ce soir à  minuit mais nouvel échec, mes identifiant et mot de passe étant à  nouveau refusés......Merci de ne pas me répondre en me disant que le site est fonctionnel, ou qu'il faut vider les caches......",Nos envoyés spéciaux ont sillonné les routes de France pour relater les petits et grands événements qui ont marqué leur vie.,"['carrefour,', 'acheteurs,', 'reservation']","['caches,', 'fidélité']"
28,"Incompétent !!! J'ai fait une commande au carrefour drive en septembre 2019. Le personnel a oublié une caisse.Après moultes appels et emails, ils m'ont adressés la facture d'une autre personne habitant à l'autre bout de la France pour que j'indique les produits manquants (alors que je les avais déjà donné par téléphone) ... et la confidentialité pour l'autre client, on en parle ?Cela va bientôt faire 5 mois que j'attends le remboursement de plus de 50 euros.Inadmissible !!!","J'ai fait une commande au carrefour drive en septembre 2018. Le personnel a oublié une caisse au carrefour, le personnel a aussitôt adressé la facture.","['commande,', 'caisse,', 'facture']",['france']
29,"SAV draisienne électrique insatisfait Achat draisienne électrique le 29 juillet 2022.Matériel HS 2mois après achat. Envoyé en SAV le 1er octobre 2022.Retour matériel le 21 novembre.J'essaye le matériel ce matin (22 novembre) et il est encore HS.J'appelle à nouveau le SAV pour me faire rembourser car je n'ai plus confiance. Refus du remboursement.Le matériel doit encore partir en SAV.MARRE DE FAIRE DES ALLER RETOUR (80KMS).Grosse déception de la marque Carrefour. En plus, il n'y a plus de SAV en magasin, tout se passe par téléphone.  Contact client plus que moyen!",Les services d'raisienne électrique de l'entreprise sont en panne depuis le 1er janvier 2022.,"['retour,', 'sav,', 'matériel']",[]
30,"Bonjour, Bonjour,Moi aussi pareil impossible de créer un compte et de les appeler bizarre ...Très déçu de l opération carrefour 😞 surtout que pour avoir une vignette on doit avoir dépensé 10 euros que pour une vignette et au bout du compte on a pas l article attendu","A l'occasion de l'opération carrefour, nous publions un appel à témoignages de lecteurs du Monde.fr pour raconter leurs difficultés à créer un compte.","['vignette,', 'compte,', 'carrefour']",[]
31,"Carrefour ILLZACH: Accueil d'un cirque avec animaux sauvages sur le parking Je trouve honteux de la part de Carrefour Illzach (dans le 68) d'accueillir sur son terrain le cirque ZAVATA avec des animaux - en cage - sachant qu'il suffit de rechercher sur Google: ""contre les cirques avec animaux"" pour trouver maintes déclaration de la lutte contre cette pratique. Et si la mairie d'Illzach l'accepte, alors et devrait revoir sa politique, ainsi que celle de Mulhouse. C'est une honte face à la lutte actuelle des fédérations, associations, fondations et une mobilisation globale contre cette pratique.De plus, un homme arrogant se balade sur le parking de Carrefour avec des flyers et répond insolemment au rejet de recevoir et d'assister à de tels spectacles.",Notre sélection de photographies d'actualité de ces dernières vingt-quatre heures à travers le monde.,"['cirque,', 'animaux,', 'cirques']",[]
32,"CARREFOUR MARKET BAPAUME CARREFOUR MARKET BAPAUMEEncore déçue par un tract publicitaire qui annonce une armoire de rangement à 34.90 €, tract sur lequel Carrefour Market est concerné par cette offre et encore une fois le produit n'est jamais arrivé en magasin. Sur 2 mois cela fait deux fois que je me fais avoir. Je voulais le lots de 2 armoires une grande et une petite pour 59 € et maintenant celle là. Je suis allée plusieurs fois en magasin, j'ai téléphoné et RIEN.  JE DECONSEILLE DE SUIVRE LES TRACTS SURTOUT POUR LE MAGASIN DE BAPAUME QUI N'A JAMAIS LES PRODUITS","A la veille de la présidentielle, ""Le Monde"" donne la parole à ceux qui font bouger les régions dans le domaine culturel.","['armoire,', 'armoires,', 'magasin']",[]
