,titles,ratings,reviews,dates,replies,reply_dates,combined_reviews,clean_BE,clean_PD,clean_DM,clean_AS,has_respond
12,Cadeau soit disant gratuit forcé à la…,1,"Cadeau soit disant gratuit forcé à la commande.

je fais une commande de vins en ligne chez Lidl-Vins: Surprise au moment du paiement, le montant est supérieur au total des produits commandés...un cadeau affiché comme gratuit ...mais en réalité payant s'est rajouté !
- une première fois je parviens à le supprimer mais surprise le montant est toujours supérieur au total des produits. j'annule la commande
- une deuxième fois pas de possibilité d'annuler le cadeau gratuit mais payant!!
la vente forcé est illégale en france où bien je me trompe?",2023-02-22T16:08:52.000Z,,,"Cadeau soit disant gratuit forcé à la… Cadeau soit disant gratuit forcé à la commande.

je fais une commande de vins en ligne chez Lidl-Vins: Surprise au moment du paiement, le montant est supérieur au total des produits commandés...un cadeau affiché comme gratuit ...mais en réalité payant s'est rajouté !
- une première fois je parviens à le supprimer mais surprise le montant est toujours supérieur au total des produits. j'annule la commande
- une deuxième fois pas de possibilité d'annuler le cadeau gratuit mais payant!!
la vente forcé est illégale en france où bien je me trompe?",1,0,1,0,0
13,Les prix...,1,"Bonjour,
Je reviens de faire mes courses en commençant par mon magasin Lidl à Touques (14800) et comme tous les lundi (une habitude),  j'achète, entre autres produits, un filet de saumon, celui qui était dans le temps à 9.99 € les 650grs qui est passé à 13.99 € les 600 grs et surprise aujourd'hui 13.99 € les 500 grs soit 28 € le kg.
Que se passe-t-il avec ce saumon chez Lidl !!!
Je ne n'ai rien acheté et je suis allé chez Leclerc faire mes courses.
J'ai commencé à comparer les prix depuis un moment, et bien Lidl c'est plus le magasin où je faisais mes courses les yeux fermés. Le saumon, ça été la goutte d'eau qui a fait déborder le vase. Ce jeu des tarifs est hallucinent, certes vous n'êtes pas les seuls, mais vous vous ventez à longueur de journée (allo patron!) que vous êtes la meilleure chaîne de distribution, et bien, ce n'est plus le cas...",2023-02-27T17:16:10.000Z,,,"Les prix... Bonjour,
Je reviens de faire mes courses en commençant par mon magasin Lidl à Touques (14800) et comme tous les lundi (une habitude),  j'achète, entre autres produits, un filet de saumon, celui qui était dans le temps à 9.99 € les 650grs qui est passé à 13.99 € les 600 grs et surprise aujourd'hui 13.99 € les 500 grs soit 28 € le kg.
Que se passe-t-il avec ce saumon chez Lidl !!!
Je ne n'ai rien acheté et je suis allé chez Leclerc faire mes courses.
J'ai commencé à comparer les prix depuis un moment, et bien Lidl c'est plus le magasin où je faisais mes courses les yeux fermés. Le saumon, ça été la goutte d'eau qui a fait déborder le vase. Ce jeu des tarifs est hallucinent, certes vous n'êtes pas les seuls, mais vous vous ventez à longueur de journée (allo patron!) que vous êtes la meilleure chaîne de distribution, et bien, ce n'est plus le cas...",1,0,0,0,0
14,J'aime beaucoup les lingettes pour…,3,J'aime beaucoup les lingettes pour toilette intime à la camomille que l'ont peut mettre dans les WC que j'achète depuis 2016. Mais dommage que l'ont puisse pas bien refermer le paquet avec un système de fermeture avec clip pour une plus grande durée. Sinon j'en suis toujours ravie. Sent bon et très agréable.,2023-02-21T01:44:24.000Z,,,J'aime beaucoup les lingettes pour… J'aime beaucoup les lingettes pour toilette intime à la camomille que l'ont peut mettre dans les WC que j'achète depuis 2016. Mais dommage que l'ont puisse pas bien refermer le paquet avec un système de fermeture avec clip pour une plus grande durée. Sinon j'en suis toujours ravie. Sent bon et très agréable.,1,0,0,0,0
15,Lidl france  janver 2023,3,"Lidl france  janver 2023
Tres cher  plus 30%
Lidl gatiers     caros nice petit caos le prix en Etage  e le prix
Caisse.diferent.no bien. No un Person allemand 
Lidl allemand est parfait 
Lidl france  olala 
Le france no un pays. 
Pour bon System le france 
Come un petit Casino 
Lidl nice gatiers besoin 
Attention le prix
Nouvell arives
Super marche espagnol 
Bravo
Prix petit  
Lidl ????",2023-02-20T14:28:16.000Z,,,"Lidl france  janver 2023 Lidl france  janver 2023
Tres cher  plus 30%
Lidl gatiers     caros nice petit caos le prix en Etage  e le prix
Caisse.diferent.no bien. No un Person allemand 
Lidl allemand est parfait 
Lidl france  olala 
Le france no un pays. 
Pour bon System le france 
Come un petit Casino 
Lidl nice gatiers besoin 
Attention le prix
Nouvell arives
Super marche espagnol 
Bravo
Prix petit  
Lidl ????",1,1,0,0,0
16,Comment lidl ose faire de la pub pour…,1,"Comment lidl ose faire de la pub pour leur viande qui fond comme du beurre!!! alors que même avec une machette on n'en vient pas à bout.
Achetez-votre viande chez un vrai boucher si vous tenez à garder vos dents!!!",2023-02-22T01:39:00.000Z,,,"Comment lidl ose faire de la pub pour… Comment lidl ose faire de la pub pour leur viande qui fond comme du beurre!!! alors que même avec une machette on n'en vient pas à bout.
Achetez-votre viande chez un vrai boucher si vous tenez à garder vos dents!!!",1,1,0,0,0
17,Défauts tour à bois Parkside,1,"J'ai acheté un tour à bois Parkside le 9/02/2023 (109€). J'ai lu la notice d'emploi et tenté de tourner des pièces de petites dimensions (140 mm de long, 30 mm de diamètre), largement dans les capacités annoncées par Lidl. Le verrouillage de la poupée mobile est inopérant au bout de dix serrages et il est impossible de bloquer fermement le porte outils dans les rails de guidage. je suis utilisateur d'outils Parkside et je suis très déçu par cet achat.",2023-02-16T19:50:52.000Z,,,"Défauts tour à bois Parkside J'ai acheté un tour à bois Parkside le 9/02/2023 (109€). J'ai lu la notice d'emploi et tenté de tourner des pièces de petites dimensions (140 mm de long, 30 mm de diamètre), largement dans les capacités annoncées par Lidl. Le verrouillage de la poupée mobile est inopérant au bout de dix serrages et il est impossible de bloquer fermement le porte outils dans les rails de guidage. je suis utilisateur d'outils Parkside et je suis très déçu par cet achat.",1,0,1,1,0
18,problème de pièces détachées,1,"j'ai acheté un taille haie florabest en 2015..servi 2 fois...le chargeur batterie est HS le fabricant ne peut fournir ....Lidl est désolé et moi j'ai acheté un appareil inutile....
bien triste en attendant je n'achèterai plus chez Lidl et je fais part de mon expérience aux max de personnes",2023-02-16T12:14:37.000Z,,,"problème de pièces détachées j'ai acheté un taille haie florabest en 2015..servi 2 fois...le chargeur batterie est HS le fabricant ne peut fournir ....Lidl est désolé et moi j'ai acheté un appareil inutile....
bien triste en attendant je n'achèterai plus chez Lidl et je fais part de mon expérience aux max de personnes",0,1,0,1,0
19,Anti gaspillage est réservé à vos salariés.,2,"Aujourd'hui à Villetaneuse une salariée a la caisse libre sort du magasin à 14h07 avec de la viande anti gaspillage hors cette viande n'a jamais été mis en rayon.
Elle avait 2 sachet remplie.
Le plus souvent elle prennent les cajettes anti gaspillage et mettent de la merdes pour les clients.
A plusieurs reprises je les ai déjà vue sortir avec de belle cajettes",2023-02-14T15:27:46.000Z,,,"Anti gaspillage est réservé à vos salariés. Aujourd'hui à Villetaneuse une salariée a la caisse libre sort du magasin à 14h07 avec de la viande anti gaspillage hors cette viande n'a jamais été mis en rayon.
Elle avait 2 sachet remplie.
Le plus souvent elle prennent les cajettes anti gaspillage et mettent de la merdes pour les clients.
A plusieurs reprises je les ai déjà vue sortir avec de belle cajettes",1,0,0,0,0
20,Vu le prix du courant électrique...Ils…,1,Vu le prix du courant électrique...Ils balancent  aux français  tous les petits electro ménager   qui ne fonctionnent pas et qui consomme   un max   ...,2023-02-24T13:35:16.000Z,,,Vu le prix du courant électrique...Ils… Vu le prix du courant électrique...Ils balancent  aux français  tous les petits electro ménager   qui ne fonctionnent pas et qui consomme   un max   ...,0,1,0,0,0
21,Non respect de la garantie.,1,"J ai acheté une scie sabre chez LIDL. Au bout d'une semaine elles tombée en panne. Un periple pour la faire remplacer. La seconde également tombée en.panne un mois après l avoir reçue. Depuis LIDL fait le mort et ne traite pas le remboursement demandé. 
N achetez pas de scie sabre chez LIDL. Lamentable.",2023-02-14T09:03:48.000Z,,,"Non respect de la garantie. J ai acheté une scie sabre chez LIDL. Au bout d'une semaine elles tombée en panne. Un periple pour la faire remplacer. La seconde également tombée en.panne un mois après l avoir reçue. Depuis LIDL fait le mort et ne traite pas le remboursement demandé. 
N achetez pas de scie sabre chez LIDL. Lamentable.",0,1,0,1,0
22,Client lidl Mareuil les Meaux,1,"Client lidl Mareuil les Meaux, depuis des nombreuses années, nous constatons depuis quelques mois une recrudescence des controles ""antivol"" et autre remarques désobligeantes de la part du personnel qui frolent l'impolitesse:
-Caissier qui sorts de sa guitoune fou-furieux parce que un sac plié est posé sur les bouteilles d'eaux, hurlant ""mettez le chariot ici..!!"" (Trois fois e 15 jours..)
- Caissier qui nous dit que "" nous devons prendre l'habitude de vider le sac de congelation en passant en caisse car il n'a pas que ça a faire.."" A 73 ans on peut toujors encore apprendre..
-Controles du ticket à la sortie sans menagement ni explications.
Le personnel semble mettre  beaucoups de zèle lors de ces actions, indiquant qu'ils ont étés formés pour cela ( en Allemagne peut-etre..)
 Cela associé à la qualite trés dégradée de beaucoups de produits lidl, il est temps de passer chez Aldi ou au bon vieux Carrefour. C'est dommage mais trop c'est trop.",2023-02-24T12:27:01.000Z,,,"Client lidl Mareuil les Meaux Client lidl Mareuil les Meaux, depuis des nombreuses années, nous constatons depuis quelques mois une recrudescence des controles ""antivol"" et autre remarques désobligeantes de la part du personnel qui frolent l'impolitesse:
-Caissier qui sorts de sa guitoune fou-furieux parce que un sac plié est posé sur les bouteilles d'eaux, hurlant ""mettez le chariot ici..!!"" (Trois fois e 15 jours..)
- Caissier qui nous dit que "" nous devons prendre l'habitude de vider le sac de congelation en passant en caisse car il n'a pas que ça a faire.."" A 73 ans on peut toujors encore apprendre..
-Controles du ticket à la sortie sans menagement ni explications.
Le personnel semble mettre  beaucoups de zèle lors de ces actions, indiquant qu'ils ont étés formés pour cela ( en Allemagne peut-etre..)
 Cela associé à la qualite trés dégradée de beaucoups de produits lidl, il est temps de passer chez Aldi ou au bon vieux Carrefour. C'est dommage mais trop c'est trop.",1,0,0,0,0
23,Prix article en rayon différent de ce qui passe à la caisse,1,"Aujourd'hui j'ai voulu acheter un petit bouquet de tulipes pour la St Valentin. 
Il y en avait à 2,29 (prix indiqué sur le rayonnage). 
Mais à la caisse le prix avait doublé... 
Explication : Des bouquets pratiquement identiques, mais plus chers, étaient mélangés (intentionnellement ou pas?) avec les bouquets concernés par le prix affiché. 
Conclusion : Ne vous fiez pas aux prix indiqués sur les rayonnages à Lidl...
Malheureusement, ce n'est pas la première fois qu'il est difficile de savoir quel prix sera effectif lors du passage en caisse. 
Méfiance donc.",2023-02-14T15:13:03.000Z,,,"Prix article en rayon différent de ce qui passe à la caisse Aujourd'hui j'ai voulu acheter un petit bouquet de tulipes pour la St Valentin. 
Il y en avait à 2,29 (prix indiqué sur le rayonnage). 
Mais à la caisse le prix avait doublé... 
Explication : Des bouquets pratiquement identiques, mais plus chers, étaient mélangés (intentionnellement ou pas?) avec les bouquets concernés par le prix affiché. 
Conclusion : Ne vous fiez pas aux prix indiqués sur les rayonnages à Lidl...
Malheureusement, ce n'est pas la première fois qu'il est difficile de savoir quel prix sera effectif lors du passage en caisse. 
Méfiance donc.",1,1,0,0,0
24,La déchéance,1,"Avant l'inflation on s'en sortait pour 150€ la semaine à 3. Maintenant c'est juste exagéré les augmentations à la pelle. Leclerc est carrement moins cher malgré tout. 
Rajoutez à ça un supermarché sale, mal rangé ou la politique de la maison c'est de jeter à 200km/h les articles en bout de caisse (qui fait 2cm de long dailleurs) et de vous expédier comme un malpropre. 
Avant on tolérait de moins bien manger (oui parce-que faut pas déconner 50% des trucs sont dégeu) parce-que c'était moins cher maintenant c'est souvent plus cher qu'inter ou Leclerc mais c'est toujours aussi deg.",2023-02-14T07:14:46.000Z,,,"La déchéance Avant l'inflation on s'en sortait pour 150€ la semaine à 3. Maintenant c'est juste exagéré les augmentations à la pelle. Leclerc est carrement moins cher malgré tout. 
Rajoutez à ça un supermarché sale, mal rangé ou la politique de la maison c'est de jeter à 200km/h les articles en bout de caisse (qui fait 2cm de long dailleurs) et de vous expédier comme un malpropre. 
Avant on tolérait de moins bien manger (oui parce-que faut pas déconner 50% des trucs sont dégeu) parce-que c'était moins cher maintenant c'est souvent plus cher qu'inter ou Leclerc mais c'est toujours aussi deg.",1,1,0,0,0
25,Lidl Compans.,1,"Lidl Compans.
Caisses automatiques fermées quasiment tous les matins à l’ouverture du magasin. Quand elles sont ouvertes, paiement en espèces jamais disponible.
Prix affichés souvent différents de ceux payés pour les fruits et légumes.
Produits gagnés en grattant les tickets jamais en rayons.
Clients et personnel souvent désagréables voire agressifs.
Prix beaucoup plus élevés que chez Auchan ou Leclerc avec les nombreuses promotions que ces derniers proposent.
Bref, Lidl : plus jamais.",2023-02-11T22:08:03.000Z,,,"Lidl Compans. Lidl Compans.
Caisses automatiques fermées quasiment tous les matins à l’ouverture du magasin. Quand elles sont ouvertes, paiement en espèces jamais disponible.
Prix affichés souvent différents de ceux payés pour les fruits et légumes.
Produits gagnés en grattant les tickets jamais en rayons.
Clients et personnel souvent désagréables voire agressifs.
Prix beaucoup plus élevés que chez Auchan ou Leclerc avec les nombreuses promotions que ces derniers proposent.
Bref, Lidl : plus jamais.",1,1,0,0,0
26,Lidl correct mais attention n'augmenter plus !,3,"Je vais toujours chez lidl faire une partie de mes courses pas la viande rare. Ds celui où je vais peu de pris poissons intéressant au kg ds d'autres j'en ai trouvé du cabillaud d'ailleurs mais bon je ne vais pas faire deux lidl ! Je complète pas achats biocoop..
Certains se plaignent des augmentation c'est vrai mais on se retrouve avec quasi les même pris qu'ailleurs surtout les fromages on a du frais en promo à gd frais pas très loin.... Je dirai que si on va à l'essentiel ça va les autres gds surfaces sont plus tentante trop de choses donc plus de dépenses j'évite je fais du ponctuel et j'essaie tous les 15 jours je me déplace moins donc moins d'achats je vais plutôt à l'essentiel sauf une fois par mois.. Encore valable lidl mais faudrait pas encore augmenter si on j'irai ailleurs !",2023-02-18T10:53:39.000Z,,,"Lidl correct mais attention n'augmenter plus ! Je vais toujours chez lidl faire une partie de mes courses pas la viande rare. Ds celui où je vais peu de pris poissons intéressant au kg ds d'autres j'en ai trouvé du cabillaud d'ailleurs mais bon je ne vais pas faire deux lidl ! Je complète pas achats biocoop..
Certains se plaignent des augmentation c'est vrai mais on se retrouve avec quasi les même pris qu'ailleurs surtout les fromages on a du frais en promo à gd frais pas très loin.... Je dirai que si on va à l'essentiel ça va les autres gds surfaces sont plus tentante trop de choses donc plus de dépenses j'évite je fais du ponctuel et j'essaie tous les 15 jours je me déplace moins donc moins d'achats je vais plutôt à l'essentiel sauf une fois par mois.. Encore valable lidl mais faudrait pas encore augmenter si on j'irai ailleurs !",1,1,0,0,0
27,Accueil très froid on ne vous regarde…,1,Accueil très froid on ne vous regarde même pas rarement vu cela vous faites fuir vos clients changer de métier vous n avez rien à faire dans le commerce,2023-02-21T19:46:04.000Z,,,Accueil très froid on ne vous regarde… Accueil très froid on ne vous regarde même pas rarement vu cela vous faites fuir vos clients changer de métier vous n avez rien à faire dans le commerce,1,0,0,0,0
28,TROMPERIE MANIFESTE DE LIDL,1,"LORS D UN ACHAT RECENT SOI DISANT EN PROMO ? AU LIDL DE REYNIES (66) , CONCERNANT UN SACHET DE 2 CABILLAU PANES , J AI LA SURPRISE DE VOIR QUE CE N ETAIT QU UNE PATE AVEC UNE INFIME PARTIE DE POISSON  , AU GOUT  LOIN DE CELUI DU POISSON ? ET LE DIRECTEUR A ETE D UNE  ATTITUDE INFECTE FACE AU CLIENT QUE JE SUIS ?  C EST INACCEPTABLE...   D AUTRES PERSONNES LE LUI ONT EGALEMENT DIT ,   VITE FUYEZ LIDL",2023-02-08T19:46:55.000Z,,,"TROMPERIE MANIFESTE DE LIDL LORS D UN ACHAT RECENT SOI DISANT EN PROMO ? AU LIDL DE REYNIES (66) , CONCERNANT UN SACHET DE 2 CABILLAU PANES , J AI LA SURPRISE DE VOIR QUE CE N ETAIT QU UNE PATE AVEC UNE INFIME PARTIE DE POISSON  , AU GOUT  LOIN DE CELUI DU POISSON ? ET LE DIRECTEUR A ETE D UNE  ATTITUDE INFECTE FACE AU CLIENT QUE JE SUIS ?  C EST INACCEPTABLE...   D AUTRES PERSONNES LE LUI ONT EGALEMENT DIT ,   VITE FUYEZ LIDL",1,0,0,0,0
29,Plus possible de régler en espèces aux caisses automatiques..... Grrrr,1,Depuis quelques jours je ne vais plus au Lidl Paris Alésia dans le 14e car je ne peux pas payer en espèces au guichet automatique et ce matin je suis allé au Lidl de Montparnasse la même chose plus possible de régler en espèces il faut faire la queue dix minutes  à une caisse avec une caissière donc désormais nous avons à Leclerc juste à côté ce sera plus simple d'y aller,2023-02-08T13:39:49.000Z,,,Plus possible de régler en espèces aux caisses automatiques..... Grrrr Depuis quelques jours je ne vais plus au Lidl Paris Alésia dans le 14e car je ne peux pas payer en espèces au guichet automatique et ce matin je suis allé au Lidl de Montparnasse la même chose plus possible de régler en espèces il faut faire la queue dix minutes  à une caisse avec une caissière donc désormais nous avons à Leclerc juste à côté ce sera plus simple d'y aller,1,0,0,0,0
30,Lidl vauban plus aucun sac pour la…,1,"Lidl vauban plus aucun sac pour la boulangerie, sol sale, personnel sans éducation à oublier que sans clients ils seraient tous au chômage.... A fuir",2023-02-21T14:16:53.000Z,,,"Lidl vauban plus aucun sac pour la… Lidl vauban plus aucun sac pour la boulangerie, sol sale, personnel sans éducation à oublier que sans clients ils seraient tous au chômage.... A fuir",1,0,0,0,0
